,Aged Care,Postcode,Nearest Hospital,Type,Hopsital Address,Distance (miles)
413,Elouera Aged Care Centre,3228,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,9.04
50,Embracia Moonee Valley,3034,The Essendon Private Hospital,Private,35 Rosehill Road Rosehill VIC 3040,1.36
50,Embracia Moonee Valley,3034,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,2.52
113,Embracia Reservoir,3073,Reservoir Private Hospital Day Procedure Centre,Private,73-75 Pine Street Darebin VIC 3073,0.86
113,Embracia Reservoir,3073,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,2.62
378,Emerald Hill Residence,3205,Albert Road Clinic,Private,31-33 Albert Road Albert VIC 3004,0.52
378,Emerald Hill Residence,3205,The Alfred,Public,55 Commercial Road Melbourne VIC 3004,1.24
162,Emerald Terrace Aged Care,3106,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,3.96
162,Emerald Terrace Aged Care,3106,Manningham Day Procedure Centre,Private,503/200 High Street Manningham VIC 3107,1.89
276,Emmy Monash Aged Care,3161,Caulfield General Medical Centre,Public,260 Kooyong Road Caulfield VIC 3162,1.28
276,Emmy Monash Aged Care,3161,Toorak - Malvern Day Surgery Centre,Private,30-32 Glenferrie Road Stonnington VIC 3144,0.28
119,Epping Gardens,3076,The Northern Hospital,Public,185 Cooper Street Epping VIC 3076,0.67
119,Epping Gardens,3076,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,0.41
32,Estia Health Altona Meadows,3028,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,4.45
32,Estia Health Altona Meadows,3028,Altona Endoscopy Centre,Private,3-5 Sargood Street Sargood VIC 3018,2.73
24,Estia Health Ardeer,3022,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,1.57
24,Estia Health Ardeer,3022,Dr Scope,Private,493 Ballarat Road Brimbank VIC 3020,1.4
448,Estia Health Bannockburn,3331,St John of God Geelong Hospital,Private,80 Myers Street Myers VIC 3220,12.48
448,Estia Health Bannockburn,3331,McKellar Centre (Geelong),Public,45-99 Ballarat Road Ballarat VIC 3215,10.28
594,Estia Health Benalla Vic,3672,Wangaratta Private Hospital,Private,134-150 Templeton Street Wangaratta VIC 3677,23.14
594,Estia Health Benalla Vic,3672,Benalla Health,Public,47-63 Coster Street Benalla VIC 3672,0.68
543,Estia Health Bendigo,3550,Bendigo Health (Anne Caudle),Public,100A Barnard Street Bendigo VIC 3550,0.89
543,Estia Health Bendigo,3550,St John of God Bendigo Hospital,Private,133-145 Lily Street Lily VIC 3550,1.2
376,Estia Health Bentleigh,3204,Bentleigh Surgicentre,Private,157 Jasper Road Jasper VIC 3204,0.89
376,Estia Health Bentleigh,3204,Calvary Health Care Bethlehem,Public,476-482 Kooyong Road Kooyong VIC 3162,1.82
78,Estia Health Coolaroo,3048,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,2.09
78,Estia Health Coolaroo,3048,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,4.36
314,Estia Health Dandenong,3175,Dandenong Hospital,Public,135 David Street Dandenong VIC 3175,0.29
314,Estia Health Dandenong,3175,The Digestive Health Centre,Private,90 David Street David VIC 3175,0.18
118,Estia Health Epping Vic,3076,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,1.28
118,Estia Health Epping Vic,3076,The Northern Hospital,Public,185 Cooper Street Epping VIC 3076,1.21
249,Estia Health Glen Waverley,3150,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,1.87
249,Estia Health Glen Waverley,3150,Waverley Endoscopy,Private,301 Blackburn Road Monash VIC 3149,0.54
391,Estia Health Grovedale,3216,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,2.11
391,Estia Health Grovedale,3216,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,4.08
127,Estia Health Heidelberg,3081,Heidelberg Endoscopy and Day Surgery Centre,Private,177-179 Northern Road Banyule VIC 3081,0.7
127,Estia Health Heidelberg,3081,Heidelberg Repatriation Hospital,Public,300 Waterdale Road Waterdale VIC 3081,1.43
59,Estia Health Keilor,3038,Sydenham Day Surgery,Private,566 Melton Highway Brimbank VIC 3037,2.15
59,Estia Health Keilor,3038,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,3.58
307,Estia Health Keysborough,3173,Noble Park Endoscopy Centre,Private,1304 Heatherton Road Heatherton VIC 3174,2.23
307,Estia Health Keysborough,3173,"Queen Elizabeth Centre, The",Public,37-53 Thomas Street Thomas VIC 3174,1.66
322,Estia Health Knoxfield,3180,The Melbourne Eastern Private Hospital,Private,153-159 Scoresby Road Knox VIC 3155,1.52
322,Estia Health Knoxfield,3180,Wantirna Health,Public,251 Mountain Highway Wantirna VIC 3152,2.57
408,Estia Health Leopold,3224,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,6.25
408,Estia Health Leopold,3224,The Geelong Clinic,Private,94-102 Townsend Road Townsend VIC 3219,4.16
451,Estia Health Melton South,3338,Melton Health,Public,195-209 Barries Road Barries VIC 3337,1.16
451,Estia Health Melton South,3338,Sydenham Day Surgery,Private,566 Melton Highway Brimbank VIC 3037,10.52
290,Estia Health Oakleigh East,3166,Monash Medical Centre (Clayton),Public,246 Clayton Road Clayton VIC 3168,1.65
290,Estia Health Oakleigh East,3166,Sir John Monash Private Hospital,Private,212-220 Clayton Road Monash VIC 3168,1.5
623,Estia Health Plenty Valley,3752,Northpark Private Hospital,Private,10 Greenhills Road Whittlesea VIC 3083,2.95
623,Estia Health Plenty Valley,3752,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,3.73
323,Estia Health Prahran,3181,Windsor Private Hospital,Private,20-22 Melton  Stonnington VIC 3181,0.28
323,Estia Health Prahran,3181,The Alfred,Public,55 Commercial Road Melbourne VIC 3004,1.05
214,Estia Health Ringwood - Waldreas Village,3134,Eastside Endoscopy Centre,Private,33 Wantirna Road Maroondah VIC 3134,0.26
214,Estia Health Ringwood - Waldreas Village,3134,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,1.66
625,Estia Health South Morang - Heritage Lakes,3752,Northpark Private Hospital,Private,10 Greenhills Road Whittlesea VIC 3083,2.95
625,Estia Health South Morang - Heritage Lakes,3752,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,3.73
541,Estia Health Victoria Heights,3550,St John of God Bendigo Hospital,Private,133-145 Lily Street Lily VIC 3550,0.76
541,Estia Health Victoria Heights,3550,Bendigo Health (Anne Caudle),Public,100A Barnard Street Bendigo VIC 3550,0.74
148,Estia Health Wattle Glen,3096,Diaverum Diamond Valley Dialysis Clinic,Private,15 Grimshaw Street Banyule VIC 3088,5.9
148,Estia Health Wattle Glen,3096,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,8.28
38,Estia Health Werribee,3030,Werribee Endoscopy Centre,Private,179 Princes Highway Wyndham VIC 3030,1.71
38,Estia Health Werribee,3030,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,2.43
604,Estia Health Wodonga,3690,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,0.73
604,Estia Health Wodonga,3690,Albury Wodonga Health (Wodonga),Public,53-81 Vermont Street Wodonga VIC 3690,0.98
635,Estia Health Yarra Valley,3797,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,17.65
635,Estia Health Yarra Valley,3797,Healesville and District Hospital,Public,377 Maroondah Highway Healesville VIC 3777,10.86
457,Eureka Village Hostel,3350,Ballarat Hospital,Public,1 Drummond Street Drummond VIC 3350,2.3
457,Eureka Village Hostel,3350,St John of God Ballarat Hospital,Private,101 Drummond Street Ballarat VIC 3350,2.3
157,Eva Tilley Memorial Home,3104,Kew Endoscopy,Private,828 High Street Boroondara VIC 3102,0.3
157,Eva Tilley Memorial Home,3104,St George's Health Service (Aged Care),Public,283 Cotham Road Kew VIC 3101,1.44
484,Eventide Homes Stawell Inc,3380,Stawell Regional Health,Public,27-29 Sloane Street Stawell VIC 3380,0.34
484,Eventide Homes Stawell Inc,3380,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,66.42
438,Eventide Lutheran Homes,3300,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,49.78
438,Eventide Lutheran Homes,3300,Hamilton Base Hospital,Public,20 Foster Street Hamilton VIC 3300,0.38
657,Fairview Village,3820,Neerim District Health Service,Private,29-39 Church Road Church VIC 3831,10.51
657,Fairview Village,3820,West Gippsland Healthcare Group (Warragul),Public,41 Landsborough Street Warragul VIC 3820,0.17
345,Fairway Bayside Aged Care,3191,Sandringham & District Memorial Hospital,Public,191-193 Bluff Road Sandringham VIC 3191,0.06
345,Fairway Bayside Aged Care,3191,Linacre Private Hospital,Private,12-16 Linacre Road Bayside VIC 3188,1.46
198,Faversham House,3126,Linley Clinic,Private,25 Bryson Street Boroondara VIC 3126,0.32
198,Faversham House,3126,O'Connell Family Centre,Public,6 Katamatite-nathalia Road Canterbury VIC 3126,1.32
29,Florence Aged Care Facility,3025,Williamstown Hospital,Public,76A Railway Crescent Williamstown VIC 3016,3.0
29,Florence Aged Care Facility,3025,Altona Endoscopy Centre,Private,3-5 Sargood Street Sargood VIC 3018,2.39
370,Forest Lodge Residential Aged Care,3200,Frankston Hospital,Public,2 Hastings Road Frankston VIC 3199,2.19
370,Forest Lodge Residential Aged Care,3200,Bayside Day Procedure and Specialist Centre,Private,141 Cranbourne Road Frankston VIC 3199,1.7
369,Frankston Nursing Home (Meracare),3199,"Southern Eye Centre, Day Surgery & Laser Clinic",Private,42-44 Cranbourne Road Frankston VIC 3199,0.7
369,Frankston Nursing Home (Meracare),3199,Frankston Hospital,Public,2 Hastings Road Frankston VIC 3199,0.51
297,Fronditha Care Clayton,3169,Monash Medical Centre (Clayton),Public,246 Clayton Road Clayton VIC 3168,1.48
297,Fronditha Care Clayton,3169,Monash Surgical Private Hospital,Private,252-256 Clayton Road Monash VIC 3168,1.35
20,Fronditha Care St. Albans,3021,Fresenius Medical Care Sunshine Dialysis Clinic,Private,147-149 Furlong Road Brimbank VIC 3021,1.02
20,Fronditha Care St. Albans,3021,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,1.01
166,Fronditha Care Templestowe,3107,Mercy Hospital for Women,Public,163 Studley Road Heidelberg VIC 3084,3.03
166,Fronditha Care Templestowe,3107,Manningham Day Procedure Centre,Private,503/200 High Street Manningham VIC 3107,1.15
105,Fronditha Care Thornbury,3071,North Eastern Rehabilitation Centre,Private,134-146 Ford Street Banyule VIC 3079,0.83
105,Fronditha Care Thornbury,3071,Heidelberg Repatriation Hospital,Public,300 Waterdale Road Waterdale VIC 3081,1.47
480,Garden View Court Hostel,3377,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,52.67
480,Garden View Court Hostel,3377,East Grampians Health Service (Ararat),Public,9-29 Girdlestone Street Ararat VIC 3377,0.08
465,Geoffrey Cutter Centre,3350,Ballarat Hospital,Public,1 Drummond Street Drummond VIC 3350,2.35
465,Geoffrey Cutter Centre,3350,St John of God Ballarat Hospital,Private,101 Drummond Street Ballarat VIC 3350,2.35
697,George Vowell,3930,Beleura Private Hospital,Private,925 Nepean Highway Nepean VIC 3931,2.04
697,George Vowell,3930,The Mornington Centre,Public,24 Separation Street Mornington VIC 3931,2.58
546,Gibson Street Complex,3550,"Bendigo Hospital, The",Public,62 Lucan Street Bendigo VIC 3550,1.33
546,Gibson Street Complex,3550,St John of God Bendigo Hospital,Private,133-145 Lily Street Lily VIC 3550,1.98
504,Gisborne Oaks,3437,Goonawarra Day Hospital,Private,11 Dornoch Drive Hume VIC 3429,10.85
504,Gisborne Oaks,3437,Sunbury Day Hospital,Public,7 Macedon Street Sunbury VIC 3429,10.0
557,Glanville Village,3564,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,40.18
557,Glanville Village,3564,Echuca Regional Health,Public,226 Service Street Echuca VIC 3564,0.36
562,Glenarm Nursing Home,3579,Kerang District Health,Public,13-15 Burgoyne Street Kerang VIC 3579,0.1
562,Glenarm Nursing Home,3579,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,74.08
35,Glendale Aged Care,3030,Westpoint Endoscopy Day Hospital,Private,243 Heaths Road Wyndham VIC 3030,0.05
35,Glendale Aged Care,3030,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,1.26
270,Glengollan Village,3156,Angliss Hospital,Public,39 Albert Street Albert VIC 3156,1.82
270,Glengollan Village,3156,The Melbourne Eastern Private Hospital,Private,153-159 Scoresby Road Knox VIC 3155,2.06
69,Glenlyn Aged Care Facility,3046,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,1.31
69,Glenlyn Aged Care Facility,3046,Dorset Rehabilitation Centre,Private,146 Derby Street Moreland VIC 3044,2.37
602,Glenview Community Care Nursing Home,3685,Wangaratta Private Hospital,Private,134-150 Templeton Street Wangaratta VIC 3677,22.35
602,Glenview Community Care Nursing Home,3685,Northeast Health Wangaratta,Public,35-47 Green Street Wangaratta VIC 3677,22.64
550,Golden Oaks Nursing Home,3555,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,1.39
550,Golden Oaks Nursing Home,3555,Bendigo Health (Anne Caudle),Public,100A Barnard Street Bendigo VIC 3550,2.47
502,Goonawarra Aged Care Facility,3429,Sunbury Day Hospital,Public,7 Macedon Street Sunbury VIC 3429,0.86
502,Goonawarra Aged Care Facility,3429,Goonawarra Day Hospital,Private,11 Dornoch Drive Hume VIC 3429,1.7
481,Gorrinn House Hostel,3377,East Grampians Health Service (Ararat),Public,9-29 Girdlestone Street Ararat VIC 3377,0.59
481,Gorrinn House Hostel,3377,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,52.11
121,Grace Of Mary Greek Cypriot Elderly Hostel,3076,The Northern Hospital,Public,185 Cooper Street Epping VIC 3076,1.02
121,Grace Of Mary Greek Cypriot Elderly Hostel,3076,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,1.25
142,Grace Villa Aged Care,3088,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,2.34
142,Grace Villa Aged Care,3088,Diaverum Diamond Valley Dialysis Clinic,Private,15 Grimshaw Street Banyule VIC 3088,0.57
329,Graceland Manor,3185,,Public,,
329,Graceland Manor,3185,,Private,,
240,Grand Cedar,3147,Glen Iris Private,Private,314 Warrigal Road Boroondara VIC 3146,0.54
240,Grand Cedar,3147,O'Connell Family Centre,Public,6 Katamatite-nathalia Road Canterbury VIC 3126,3.81
535,Grandview Lodge,3527,East Wimmera Health Service (Wycheproof),Public,19 Grandview Street Wycheproof VIC 3527,0.1
535,Grandview Lodge,3527,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,74.05
436,Grange Residential Care Services,3300,Hamilton Base Hospital,Public,20 Foster Street Hamilton VIC 3300,0.22
436,Grange Residential Care Services,3300,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,50.02
592,GraniteHill Aged Care,3666,Euroa Health Inc,Private,36 Kennedy Street Strathbogie VIC 3666,0.06
592,GraniteHill Aged Care,3666,Benalla Health,Public,47-63 Coster Street Benalla VIC 3672,27.47
454,Grant Lodge Aged Care Facility,3340,Ballan District Health & Care,Private,33 Cowie Street Moorabool VIC 3342,12.7
454,Grant Lodge Aged Care Facility,3340,Djerriwarrh Health Services (Bacchus Marsh),Public,29-35 Grant Street Grant VIC 3340,0.05
415,Great Ocean Road Health - Lorne Nursing Home,3232,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,30.17
415,Great Ocean Road Health - Lorne Nursing Home,3232,Lorne Community Hospital,Public,1 Albert Street Lorne VIC 3232,0.23
177,Greenview Aged Care,3111,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,3.53
177,Greenview Aged Care,3111,Donvale Rehabilitation Hospital,Private,1119-1121 Doncaster Road Manningham VIC 3109,0.57
303,Greenwood Manor (Outlet),3172,Kingston Centre,Public,400 Warrigal Road Heatherton VIC 3202,2.74
303,Greenwood Manor (Outlet),3172,Como Private Hospital,Private,152-156 Como Parade Kingston VIC 3195,2.02
695,Griffiths Point Lodge Hostel,3925,Beleura Private Hospital,Private,925 Nepean Highway Nepean VIC 3931,26.91
695,Griffiths Point Lodge Hostel,3925,Bass Coast Health,Public,235 Graham Street Wonthaggi VIC 3995,12.91
580,Grutzner House,3630,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,0.51
580,Grutzner House,3630,Shepparton Hospital,Public,2-48 Graham Street Shepparton VIC 3630,0.1
466,Hailey House Hostel,3350,Ballarat Hospital,Public,1 Drummond Street Drummond VIC 3350,1.61
466,Hailey House Hostel,3350,Ballarat Surgicentre,Private,5-9 Wood Street Ballarat VIC 3350,0.54
639,Hallam Residential Care,3803,The Hampton Park Women's Health Care Centre,Private,4 Warana Drive Casey VIC 3976,1.76
639,Hallam Residential Care,3803,Dandenong Hospital,Public,135 David Street Dandenong VIC 3175,3.61
280,HammondCare - Caulfield Village,3162,Caulfield General Medical Centre,Public,260 Kooyong Road Caulfield VIC 3162,0.0
280,HammondCare - Caulfield Village,3162,Cabrini Hopetoun Rehabilitation,Private,2-6 Hopetoun Street Hopetoun VIC 3185,0.4
281,HammondCare - The Glens,3162,Cabrini Health Elsternwick Rehabilitation,Private,494-498 High Road High VIC 3185,0.54
281,HammondCare - The Glens,3162,Calvary Health Care Bethlehem,Public,476-482 Kooyong Road Kooyong VIC 3162,0.29
441,Harbourside Lodge,3305,Portland District Health,Public,141-151 Bentinck Street Portland VIC 3305,0.36
441,Harbourside Lodge,3305,South West Regional Cancer Centre,Private,26 Ryot Street Warrnambool VIC 3280,47.2
577,Harmony Village Aged Care Facility,3630,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,2.12
577,Harmony Village Aged Care Facility,3630,Shepparton Hospital,Public,2-48 Graham Street Shepparton VIC 3630,2.08
514,Havilah Hostel,3465,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,34.49
514,Havilah Hostel,3465,Maryborough District Health Service (Maryborough),Public,75 Clarendon Street Maryborough VIC 3465,0.5
515,Havilah on Palmerston,3465,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,34.44
515,Havilah on Palmerston,3465,Maryborough District Health Service (Maryborough),Public,75 Clarendon Street Maryborough VIC 3465,0.43
533,Heathcote Health Low Care Service,3523,Heathcote Health,Public,39-55 Hospital Street Heathcote VIC 3523,0.27
533,Heathcote Health Low Care Service,3523,Nagambie HealthCare,Private,22 Church Street Strathbogie VIC 3608,26.34
512,Hepburn House,3460,Ballan District Health & Care,Private,33 Cowie Street Moorabool VIC 3342,19.26
512,Hepburn House,3460,Daylesford District Hospital,Public,15 Hospital Street Daylesford VIC 3460,0.73
264,Heritage Gardens,3153,Bayswater Day Procedure and Specialist Centre,Private,664 Mountain Highway Knox VIC 3153,0.7
264,Heritage Gardens,3153,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,1.91
417,Hesse Rural Health Nursing Home,3241,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,17.8
417,Hesse Rural Health Nursing Home,3241,Hesse Rural Health Service (Winchelsea),Public,8 Gosney Street Winchelsea VIC 3241,0.03
425,Heytesbury Lodge & Lovely Banks Residential Care,3266,South West Healthcare (Camperdown),Public,9 Robinson Street Camperdown VIC 3260,7.11
425,Heytesbury Lodge & Lovely Banks Residential Care,3266,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,32.61
439,Heywood Nursing Home,3304,South West Regional Cancer Centre,Private,26 Ryot Street Warrnambool VIC 3280,49.16
439,Heywood Nursing Home,3304,Heywood Rural Health,Public,21 Barclay Street Heywood VIC 3304,0.03
196,Highwood Court Aged Care,3125,Delmont Private Hospital,Private,298-308 Warrigal Road Boroondara VIC 3146,0.16
196,Highwood Court Aged Care,3125,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,3.12
652,Hillview Bunyip Aged Care Inc,3815,Neerim District Health Service,Private,29-39 Church Road Church VIC 3831,13.71
652,Hillview Bunyip Aged Care Inc,3815,West Gippsland Healthcare Group (Warragul),Public,41 Landsborough Street Warragul VIC 3820,12.46
47,Holloway Aged Care Services,3033,The Essendon Private Hospital,Private,35 Rosehill Road Rosehill VIC 3040,1.31
47,Holloway Aged Care Services,3033,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,2.63
631,Holmwood Aged Care,3777,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,16.14
631,Holmwood Aged Care,3777,Healesville and District Hospital,Public,377 Maroondah Highway Healesville VIC 3777,1.22
404,Homestead Estate,3222,The Geelong Clinic,Private,94-102 Townsend Road Townsend VIC 3219,8.23
404,Homestead Estate,3222,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,10.44
388,Homestyle Belmont Grange,3216,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,2.03
388,Homestyle Belmont Grange,3216,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,3.4
260,Homestyle Clarendon Grange,3152,Wantirna Health,Public,251 Mountain Highway Wantirna VIC 3152,1.0
260,Homestyle Clarendon Grange,3152,Knox Private Hospital,Private,262 Mountain Highway Knox VIC 3152,0.91
262,Homestyle Ferndale Gardens,3153,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,2.14
262,Homestyle Ferndale Gardens,3153,Bayswater Day Procedure and Specialist Centre,Private,664 Mountain Highway Knox VIC 3153,0.62
122,Homestyle Green Gables,3076,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,0.88
122,Homestyle Green Gables,3076,The Northern Hospital,Public,185 Cooper Street Epping VIC 3076,0.59
406,Homestyle Kensington Grange,3224,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,5.97
406,Homestyle Kensington Grange,3224,The Geelong Clinic,Private,94-102 Townsend Road Townsend VIC 3219,3.87
727,Homestyle Langford Grange,3977,Cranbourne Integrated Care Centre,Public,140-154 Sladen Street Cranbourne VIC 3977,0.59
727,Homestyle Langford Grange,3977,Casey Radiation Oncology Centre,Private,2/55 Kangan Drive Casey VIC 3806,5.59
645,Homestyle Melville Grange,3806,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,0.27
645,Homestyle Melville Grange,3806,St John of God Berwick Day Oncology Centre,Private,1/55 Kangan Drive Casey VIC 3806,0.31
39,Homestyle Point Cook Manor,3030,Wyndham Clinic,Private,242A Hoppers Lane Wyndham VIC 3030,1.4
39,Homestyle Point Cook Manor,3030,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,1.51
321,Homestyle Rowville Manor,3178,Dandenong Hospital,Public,135 David Street Dandenong VIC 3175,3.9
321,Homestyle Rowville Manor,3178,The Valley Private Hospital,Private,535-559 Police Road Monash VIC 3170,2.15
410,Homestyle Sea Views Manor,3226,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,12.34
410,Homestyle Sea Views Manor,3226,The Geelong Clinic,Private,94-102 Townsend Road Townsend VIC 3219,9.93
638,Homewood Residential Aged Care,3803,The Hampton Park Women's Health Care Centre,Private,4 Warana Drive Casey VIC 3976,1.9
638,Homewood Residential Aged Care,3803,Dandenong Hospital,Public,135 David Street Dandenong VIC 3175,3.68
593,Honeysuckle Regional Health,3669,Euroa Health Inc,Private,36 Kennedy Street Strathbogie VIC 3666,11.8
593,Honeysuckle Regional Health,3669,Benalla Health,Public,47-63 Coster Street Benalla VIC 3672,16.23
548,"Honeysuckle Regional Health, Bentley's Aged Care",3550,St John of God Bendigo Hospital,Private,133-145 Lily Street Lily VIC 3550,2.45
548,"Honeysuckle Regional Health, Bentley's Aged Care",3550,"Bendigo Hospital, The",Public,62 Lucan Street Bendigo VIC 3550,1.26
86,Hope Aged Care,3056,Royal Melbourne Hospital (Royal Park Campus),Public,34-56 Poplar Road Parkville VIC 3052,1.12
86,Hope Aged Care,3056,John Fawkner Private Hospital,Private,275 Moreland Road Moreland VIC 3058,0.69
488,Hopetoun Nursing Home,3396,Mildura Base Hospital,Private,216-240 Ontario Avenue Mildura VIC 3500,107.36
488,Hopetoun Nursing Home,3396,Rural Northwest Health (Hopetoun),Public,12 Mitchell Place Hopetoun VIC 3396,0.05
601,Illoura - Residential Aged Care,3677,Northeast Health Wangaratta,Public,35-47 Green Street Wangaratta VIC 3677,1.11
601,Illoura - Residential Aged Care,3677,Wangaratta Private Hospital,Private,134-150 Templeton Street Wangaratta VIC 3677,0.75
532,Inglewood & Districts Health Service (Nursing Home),3517,Inglewood and Districts Health Service,Public,3 Hospital Street Inglewood VIC 3517,0.03
532,Inglewood & Districts Health Service (Nursing Home),3517,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,25.24
495,Iona Digby Harris Home,3418,West Wimmera Health Service (Nhill),Public,51 Nelson Street Nhill VIC 3418,0.38
495,Iona Digby Harris Home,3418,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,146.09
588,Irvin House NCN Health Cobram,3644,Cobram District Health,Public,24-32 Broadway Street Cobram VIC 3644,0.15
588,Irvin House NCN Health Cobram,3644,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,33.4
272,Isomer Retirement Home,3156,The Valley Private Hospital,Private,535-559 Police Road Monash VIC 3170,3.25
272,Isomer Retirement Home,3156,Angliss Hospital,Public,39 Albert Street Albert VIC 3156,3.1
678,J.H.F. McDonald Wing Nursing Home,3860,Central Gippsland Health Service (Maffra),Public,42-48 Kent Street Maffra VIC 3860,0.13
678,J.H.F. McDonald Wing Nursing Home,3860,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,10.97
525,Jacaranda Village,3496,Mildura Base Hospital,Public,216-240 Ontario Avenue Mildura VIC 3500,9.26
525,Jacaranda Village,3496,Mildura Base Hospital,Private,216-240 Ontario Avenue Mildura VIC 3500,9.26
471,Jack Lonsdale Lodge,3356,St John of God Ballarat Hospital,Private,101 Drummond Street Ballarat VIC 3350,2.24
471,Jack Lonsdale Lodge,3356,"Queen Elizabeth Centre, The (Ballarat QEC)",Public,102 Ascot Street Ascot VIC 3350,1.75
3,James Barker House,3011,Vision Day Surgery Footscray,Private,89 Paisley Street Maribyrnong VIC 3011,0.22
3,James Barker House,3011,Tweddle Child and Family Health Service,Public,49-71 Adelaide Street Footscray VIC 3011,0.57
472,James Thomas Court,3356,St John of God Ballarat Hospital,Private,101 Drummond Street Ballarat VIC 3350,3.45
472,James Thomas Court,3356,"Queen Elizabeth Centre, The (Ballarat QEC)",Public,102 Ascot Street Ascot VIC 3350,2.93
243,Japara The Regent,3149,Waverley Private Hospital,Private,343-357 Blackburn Road Monash VIC 3149,0.49
243,Japara The Regent,3149,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,2.54
499,Jeparit & District Nursing Home,3423,West Wimmera Health Service (Jeparit),Public,2 Charles Street Jeparit VIC 3423,0.28
499,Jeparit & District Nursing Home,3423,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,133.59
2,"Jewish Care : Residential Homes, Windsor",3004,The Alfred,Public,55 Commercial Road Melbourne VIC 3004,0.69
