,School,Postcode,Nearest Hospital,Type,Hopsital Address,Distance (miles)
478,Lindenow South Primary School,3875,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,37.01
478,Lindenow South Primary School,3875,Bairnsdale Regional Health Service,Public,122 Day Street Bairnsdale VIC 3875,9.55
122,Linton Primary School,3360,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,17.86
122,Linton Primary School,3360,Beaufort & Skipton Health Service (Skipton),Public,2 Blake Street Skipton VIC 3361,10.62
2252,Lisieux Catholic Primary School,3228,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,10.65
2252,Lisieux Catholic Primary School,3228,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,7.67
206,Lismore Primary School,3324,St John of God Ballarat Hospital,Private,101 Drummond Street Ballarat VIC 3350,39.05
206,Lismore Primary School,3324,Beaufort & Skipton Health Service (Skipton),Public,2 Blake Street Skipton VIC 3361,18.71
367,Little Bendigo Primary School,3350,Ballarat Hospital,Public,1 Drummond Street Drummond VIC 3350,2.83
367,Little Bendigo Primary School,3350,Ballarat Surgicentre,Private,5-9 Wood Street Ballarat VIC 3350,2.37
340,Little River Primary School,3211,Werribee Endoscopy Centre,Private,179 Princes Highway Wyndham VIC 3030,11.4
340,Little River Primary School,3211,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,12.16
2102,Little Yarra Steiner School,3797,Healesville and District Hospital,Public,377 Maroondah Highway Healesville VIC 3777,11.62
2102,Little Yarra Steiner School,3797,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,18.76
926,Livingstone Primary School,3133,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,0.91
926,Livingstone Primary School,3133,Vermont Private Hospital,Private,645-647 Burwood Hwy Whitehorse VIC 3133,1.11
637,Lloyd Street Primary School,3145,Malvern Private Hospital,Private,3-9 Bryson Crescent Stonnington VIC 3145,0.45
637,Lloyd Street Primary School,3145,Caulfield General Medical Centre,Public,260 Kooyong Road Caulfield VIC 3162,2.26
467,Loch Primary School,3945,Gippsland Southern Health Service (Korumburra),Public,65-77 Bridge Street Korumburra VIC 3950,8.04
467,Loch Primary School,3945,Neerim District Health Service,Private,29-39 Church Road Church VIC 3831,27.53
1010,Loch Sport Primary School,3851,Bairnsdale Regional Health Service,Public,122 Day Street Bairnsdale VIC 3875,15.78
1010,Loch Sport Primary School,3851,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,43.12
1230,Lockington Consolidated School,3563,St John of God Bendigo Hospital,Private,133-145 Lily Street Lily VIC 3550,37.44
1230,Lockington Consolidated School,3563,Rochester and Elmore District Health Service,Public,1 Pascoe Street Rochester VIC 3561,11.36
94,Lockwood Primary School,3551,Bendigo Health (Anne Caudle),Public,100A Barnard Street Bendigo VIC 3550,7.46
94,Lockwood Primary School,3551,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,6.21
46,Lockwood South Primary School,3551,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,8.0
46,Lockwood South Primary School,3551,Bendigo Health (Anne Caudle),Public,100A Barnard Street Bendigo VIC 3550,9.25
295,Longford Primary School,3851,Central Gippsland Health Service (Sale),Public,155 Guthridge Parade Sale VIC 3850,4.27
295,Longford Primary School,3851,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,21.28
417,Longwarry Primary School,3816,Neerim District Health Service,Private,29-39 Church Road Church VIC 3831,11.92
417,Longwarry Primary School,3816,West Gippsland Healthcare Group (Warragul),Public,41 Landsborough Street Warragul VIC 3820,9.53
439,Longwood Primary School,3665,Seymour Health,Public,1 Bretonneux Street Seymour VIC 3660,21.38
439,Longwood Primary School,3665,Euroa Health Inc,Private,36 Kennedy Street Strathbogie VIC 3666,8.87
1552,Loreto College,3350,"Queen Elizabeth Centre, The (Ballarat QEC)",Public,102 Ascot Street Ascot VIC 3350,1.12
1552,Loreto College,3350,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,1.22
1750,Loreto Mandeville Hall,3142,Cabrini Prahran,Private,646-646A High Street Stonnington VIC 3181,0.52
1750,Loreto Mandeville Hall,3142,The Alfred,Public,55 Commercial Road Melbourne VIC 3004,1.8
1335,Lorne P-12 College,3232,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,29.82
1335,Lorne P-12 College,3232,Lorne Community Hospital,Public,1 Albert Street Lorne VIC 3232,0.57
1471,Lowanna College,3825,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,7.69
1471,Lowanna College,3825,Latrobe Regional Hospital,Public,10 Village Avenue Traralgon VIC 3844,10.5
207,Lower Plenty Primary School,3093,Mercy Hospital for Women,Public,163 Studley Road Heidelberg VIC 3084,3.64
207,Lower Plenty Primary School,3093,Diaverum Diamond Valley Dialysis Clinic,Private,15 Grimshaw Street Banyule VIC 3088,1.5
1723,Lowther Hall Anglican Grammar School,3040,Essendon Private Clinic,Private,665 Wantirna Road Wantirna VIC 3039,0.62
1723,Lowther Hall Anglican Grammar School,3040,Royal Melbourne Hospital (Royal Park Campus),Public,34-56 Poplar Road Parkville VIC 3052,2.24
2031,Loyola College,3087,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,1.43
2031,Loyola College,3087,Victorian Gut Centre,Private,119 Plenty Road Whittlesea VIC 3083,1.27
1104,Lucas Primary School,3350,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,3.06
1104,Lucas Primary School,3350,"Queen Elizabeth Centre, The (Ballarat QEC)",Public,102 Ascot Street Ascot VIC 3350,3.7
194,Lucknow Primary School,3875,Bairnsdale Regional Health Service,Public,122 Day Street Bairnsdale VIC 3875,1.8
194,Lucknow Primary School,3875,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,47.66
1991,Lumen Christi School,3842,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,6.99
2112,Lumen Christi School,3356,St John of God Ballarat Hospital,Private,101 Drummond Street Ballarat VIC 3350,2.29
2112,Lumen Christi School,3356,"Queen Elizabeth Centre, The (Ballarat QEC)",Public,102 Ascot Street Ascot VIC 3350,1.76
2158,Lumen Christi School,3030,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,3.0
2158,Lumen Christi School,3030,Wyndham Clinic,Private,242A Hoppers Lane Wyndham VIC 3030,2.9
1991,Lumen Christi School,3842,Latrobe Regional Hospital,Public,10 Village Avenue Traralgon VIC 3844,7.38
2239,Lumineer Academy - Williamstown,3016,Williamstown Hospital,Public,76A Railway Crescent Williamstown VIC 3016,0.68
2239,Lumineer Academy - Williamstown,3016,Specialist Surgicentre Docklands,Private,22 Rakaia Way Melbourne VIC 3008,3.88
1918,Luther College,3136,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,1.99
1918,Luther College,3136,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,1.91
1337,Lynall Hall Community School,3121,The Melbourne Clinic,Private,130 Church Street Yarra VIC 3121,0.19
1337,Lynall Hall Community School,3121,Caritas Christi Hospice Ltd,Public,104 Kooyong Road Kew VIC 3101,1.08
1148,Lynbrook Primary School,3975,The Hampton Park Women's Health Care Centre,Private,4 Warana Drive Casey VIC 3976,1.79
1148,Lynbrook Primary School,3975,Cranbourne Integrated Care Centre,Public,140-154 Sladen Street Cranbourne VIC 3977,4.53
1181,Lyndale Greens Primary School,3175,Dandenong Hospital,Public,135 David Street Dandenong VIC 3175,1.12
1181,Lyndale Greens Primary School,3175,St John of God Pinelodge Clinic,Private,1480-1486 Heatherton Road Heatherton VIC 3175,0.58
1336,Lyndale Secondary College,3175,Dandenong Hospital,Public,135 David Street Dandenong VIC 3175,1.41
1336,Lyndale Secondary College,3175,St John of God Pinelodge Clinic,Private,1480-1486 Heatherton Road Heatherton VIC 3175,0.85
1168,Lyndhurst Primary School,3975,The Hampton Park Women's Health Care Centre,Private,4 Warana Drive Casey VIC 3976,3.1
1168,Lyndhurst Primary School,3975,Cranbourne Integrated Care Centre,Public,140-154 Sladen Street Cranbourne VIC 3977,3.0
1252,Lyndhurst Secondary College,3977,The Hampton Park Women's Health Care Centre,Private,4 Warana Drive Casey VIC 3976,3.03
1252,Lyndhurst Secondary College,3977,Cranbourne Integrated Care Centre,Public,140-154 Sladen Street Cranbourne VIC 3977,2.66
318,Lysterfield Primary School,3156,Angliss Hospital,Public,39 Albert Street Albert VIC 3156,2.23
318,Lysterfield Primary School,3156,The Melbourne Eastern Private Hospital,Private,153-159 Scoresby Road Knox VIC 3155,3.89
1956,MacKillop Catholic Regional College,3030,Werribee Endoscopy Centre,Private,179 Princes Highway Wyndham VIC 3030,1.76
1956,MacKillop Catholic Regional College,3030,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,2.48
2210,MacKillop Specialist School,3219,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,1.99
2210,MacKillop Specialist School,3219,The Geelong Clinic,Private,94-102 Townsend Road Townsend VIC 3219,0.62
1355,MacRobertson Girls High School,3004,The Alfred,Public,55 Commercial Road Melbourne VIC 3004,0.87
1355,MacRobertson Girls High School,3004,Albert Road Clinic,Private,31-33 Albert Road Albert VIC 3004,0.11
267,Macarthur Primary School,3286,Penshurst & District Memorial Hospital,Public,146 Cobb Street Penshurst VIC 3289,18.65
267,Macarthur Primary School,3286,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,35.04
347,Macarthur Street Primary School,3350,Ballarat Surgicentre,Private,5-9 Wood Street Ballarat VIC 3350,0.63
347,Macarthur Street Primary School,3350,Ballarat Hospital,Public,1 Drummond Street Drummond VIC 3350,0.76
560,Macclesfield Primary School,3782,Angliss Hospital,Public,39 Albert Street Albert VIC 3156,8.86
560,Macclesfield Primary School,3782,The Melbourne Eastern Private Hospital,Private,153-159 Scoresby Road Knox VIC 3155,11.57
289,Macedon Primary School,3440,Goonawarra Day Hospital,Private,11 Dornoch Drive Hume VIC 3429,15.13
289,Macedon Primary School,3440,Kyneton District Health Service,Public,7-25 Fenaughty Drive Kyneton VIC 3444,12.42
1049,Mackellar Primary School,3037,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,3.62
1049,Mackellar Primary School,3037,St Albans Endoscopy Centre,Private,328-330 Station Road Brimbank VIC 3021,1.85
1235,Macleod College,3085,Heidelberg Endoscopy and Day Surgery Centre,Private,177-179 Northern Road Banyule VIC 3081,0.77
1235,Macleod College,3085,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,1.89
114,Maffra Primary School,3860,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,10.58
114,Maffra Primary School,3860,Central Gippsland Health Service (Maffra),Public,42-48 Kent Street Maffra VIC 3860,0.41
1338,Maffra Secondary College,3860,Central Gippsland Health Service (Maffra),Public,42-48 Kent Street Maffra VIC 3860,0.26
1338,Maffra Secondary College,3860,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,10.88
396,Magpie Primary School,3352,St John of God Ballarat Hospital,Private,101 Drummond Street Ballarat VIC 3350,4.02
396,Magpie Primary School,3352,"Queen Elizabeth Centre, The (Ballarat QEC)",Public,102 Ascot Street Ascot VIC 3350,3.57
2140,Maharishi School of the Age of Enlightenment,3073,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,1.95
2140,Maharishi School of the Age of Enlightenment,3073,Reservoir Private Hospital Day Procedure Centre,Private,73-75 Pine Street Darebin VIC 3073,1.48
834,Mahogany Rise Primary School,3200,Frankston Hospital,Public,2 Hastings Road Frankston VIC 3199,2.32
834,Mahogany Rise Primary School,3200,Bayside Day Procedure and Specialist Centre,Private,141 Cranbourne Road Frankston VIC 3199,1.73
275,Maiden Gully Primary School,3551,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,3.12
275,Maiden Gully Primary School,3551,Bendigo Health (Anne Caudle),Public,100A Barnard Street Bendigo VIC 3550,3.93
197,Maldon Primary School,3463,Maldon Hospital,Public,1 Chapel Street Maldon VIC 3463,0.19
197,Maldon Primary School,3463,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,19.39
545,Mallacoota P-12 College,3892,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,165.16
545,Mallacoota P-12 College,3892,Orbost Regional Health,Public,104 Boundary Road Orbost VIC 3888,71.36
228,Malmsbury Primary School,3446,Kyneton District Health Service,Public,7-25 Fenaughty Drive Kyneton VIC 3444,6.52
228,Malmsbury Primary School,3446,Ballan District Health & Care,Private,33 Cowie Street Moorabool VIC 3342,29.81
280,Malvern Central School,3144,Caulfield General Medical Centre,Public,260 Kooyong Road Caulfield VIC 3162,2.06
280,Malvern Central School,3144,Malvern Dialysis Clinic,Private,1133 Malvern Road Stonnington VIC 3144,0.38
425,Malvern Primary School,3145,Stonnington Day Surgery,Private,253 Wattletree Road Stonnington VIC 3144,0.55
425,Malvern Primary School,3145,Caulfield General Medical Centre,Public,260 Kooyong Road Caulfield VIC 3162,1.4
702,Malvern Valley Primary School,3145,Monash Medical Centre (Moorabbin),Public,823-865 Centre Road Centre VIC 3165,2.94
702,Malvern Valley Primary School,3145,Malvern Private Hospital,Private,3-9 Bryson Crescent Stonnington VIC 3145,1.47
1231,Manangatang P-12 College,3546,Robinvale District Health Services (Managatang),Public,37-39 Pioneer Street Manangatang VIC 3546,0.43
1231,Manangatang P-12 College,3546,Mildura Health Private Hospital,Private,220-228 Thirteenth Street Mildura VIC 3500,73.38
870,Manchester Primary School,3138,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,2.75
870,Manchester Primary School,3138,Yarra Ranges Health,Public,25 Market Street Lilydale VIC 3140,2.59
968,Mandama Primary School,3216,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,3.96
968,Mandama Primary School,3216,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,1.32
654,Manifold Heights Primary School,3218,St John of God Geelong Hospital,Private,80 Myers Street Myers VIC 3220,1.72
654,Manifold Heights Primary School,3218,McKellar Centre (Geelong),Public,45-99 Ballarat Road Ballarat VIC 3215,1.16
1490,Manor Lakes P-12 College,3024,Westpoint Endoscopy Day Hospital,Private,243 Heaths Road Wyndham VIC 3030,4.27
1490,Manor Lakes P-12 College,3024,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,5.39
914,Manorvale Primary School,3030,Westpoint Endoscopy Day Hospital,Private,243 Heaths Road Wyndham VIC 3030,2.27
914,Manorvale Primary School,3030,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,3.08
2116,Mansfield Autism Statewide Services,3722,Mansfield District Hospital,Public,51-53 Highett Street Mansfield VIC 3722,0.22
2116,Mansfield Autism Statewide Services,3722,Euroa Health Inc,Private,36 Kennedy Street Strathbogie VIC 3666,35.33
164,Mansfield Primary School,3722,Euroa Health Inc,Private,36 Kennedy Street Strathbogie VIC 3666,35.08
164,Mansfield Primary School,3722,Mansfield District Hospital,Public,51-53 Highett Street Mansfield VIC 3722,0.17
2088,Mansfield Rudolf Steiner School,3722,Mansfield District Hospital,Public,51-53 Highett Street Mansfield VIC 3722,0.27
2088,Mansfield Rudolf Steiner School,3722,Euroa Health Inc,Private,36 Kennedy Street Strathbogie VIC 3666,35.35
1339,Mansfield Secondary College,3722,Mansfield District Hospital,Public,51-53 Highett Street Mansfield VIC 3722,0.37
1339,Mansfield Secondary College,3722,Euroa Health Inc,Private,36 Kennedy Street Strathbogie VIC 3666,35.53
1046,Maramba Primary School,3805,Casey Day Procedure and Specialist Centre,Private,30-32 Verdun Drive Casey VIC 3805,1.57
1046,Maramba Primary School,3805,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,3.7
1952,Maranatha Christian School,3802,Dandenong Eye Clinic & Day Surgery Centre,Private,1-3 Falkiner Crescent Falkiner VIC 3175,3.0
1952,Maranatha Christian School,3802,Dandenong Hospital,Public,135 David Street Dandenong VIC 3175,3.28
1817,Marcellin College,3105,Mercy Hospital for Women,Public,163 Studley Road Heidelberg VIC 3084,1.75
1817,Marcellin College,3105,Kew Endoscopy,Private,828 High Street Boroondara VIC 3102,1.75
1919,Marian College,3020,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,1.99
1618,Marian College,3377,East Grampians Health Service (Ararat),Public,9-29 Girdlestone Street Ararat VIC 3377,0.51
1962,Marian College,3737,Wangaratta Private Hospital,Private,134-150 Templeton Street Wangaratta VIC 3677,26.98
1962,Marian College,3737,Alpine Health (Myrtleford),Public,30-32 Odonnell Avenue Myrtleford VIC 3737,0.22
1919,Marian College,3020,Dr Scope,Private,493 Ballarat Road Brimbank VIC 3020,1.6
1618,Marian College,3377,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,52.27
1340,Maribyrnong Secondary College,3032,Orygen Inpatient Unit,Public,10 Mavis Street Footscray VIC 3011,0.8
1340,Maribyrnong Secondary College,3032,Western Gastroenterology Services,Private,30 Eleanor Street Maribyrnong VIC 3011,0.87
2230,Marist College Bendigo,3551,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,3.04
2230,Marist College Bendigo,3551,Bendigo Health (Anne Caudle),Public,100A Barnard Street Bendigo VIC 3550,3.51
1818,Marist-Sion College,3820,West Gippsland Healthcare Group (Warragul),Public,41 Landsborough Street Warragul VIC 3820,1.16
1818,Marist-Sion College,3820,Neerim District Health Service,Private,29-39 Church Road Church VIC 3831,9.68
891,Marlborough Primary School,3135,Wantirna Health,Public,251 Mountain Highway Wantirna VIC 3152,0.89
891,Marlborough Primary School,3135,Knox Private Hospital,Private,262 Mountain Highway Knox VIC 3152,0.91
536,Marlo Primary School,3888,Orbost Regional Health,Public,104 Boundary Road Orbost VIC 3888,7.55
536,Marlo Primary School,3888,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,96.54
1137,Marnebek School Cranbourne,3977,Cranbourne Integrated Care Centre,Public,140-154 Sladen Street Cranbourne VIC 3977,0.9
1137,Marnebek School Cranbourne,3977,Casey Radiation Oncology Centre,Private,2/55 Kangan Drive Casey VIC 3806,5.21
263,Marnoo Primary School,3387,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,77.45
263,Marnoo Primary School,3387,West Wimmera Health Service (Rupanyup),Public,89-91 Cromie Street Rupanyup VIC 3388,13.55
47,Marong Primary School,3515,Bendigo Health (Anne Caudle),Public,100A Barnard Street Bendigo VIC 3550,8.1
47,Marong Primary School,3515,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,7.23
336,Maroona Primary School,3377,East Grampians Health Service (Willaura),Public,21 Delacombe Way Willaura VIC 3379,9.91
336,Maroona Primary School,3377,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,54.03
1731,Mary Immaculate School,3079,Ivanhoe Endoscopy Centre,Private,226 Princes Road Banyule VIC 3079,0.48
1731,Mary Immaculate School,3079,Heidelberg Repatriation Hospital,Public,300 Waterdale Road Waterdale VIC 3081,1.19
2094,Mary MacKillop Catholic Regional College,3953,Gippsland Southern Health Service (Leongatha),Public,64 Koonwarra Road Leongatha VIC 3953,1.6
2094,Mary MacKillop Catholic Regional College,3953,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,30.21
2125,Mary MacKillop School,3804,Casey Hospital,Public,62-70 Kangan Drive Berwick VIC 3806,3.91
2125,Mary MacKillop School,3804,Casey Day Procedure and Specialist Centre,Private,30-32 Verdun Drive Casey VIC 3805,2.0
1487,Maryborough Education Centre,3465,Maryborough District Health Service (Maryborough),Public,75 Clarendon Street Maryborough VIC 3465,0.88
1487,Maryborough Education Centre,3465,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,34.89
2177,Marymede Catholic College,3752,Northpark Private Hospital,Private,10 Greenhills Road Whittlesea VIC 3083,3.67
2177,Marymede Catholic College,3752,The Northern Hospital,Public,185 Cooper Street Epping VIC 3076,4.21
201,Marysville Primary School,3779,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,32.5
201,Marysville Primary School,3779,Healesville and District Hospital,Public,377 Maroondah Highway Healesville VIC 3777,15.25
1925,Mater Christi College,3160,The Melbourne Eastern Private Hospital,Private,153-159 Scoresby Road Knox VIC 3155,6.24
1925,Mater Christi College,3160,Angliss Hospital,Public,39 Albert Street Albert VIC 3156,2.61
1341,Matthew Flinders Girls Secondary College,3220,St John of God Geelong Hospital,Private,80 Myers Street Myers VIC 3220,0.28
1341,Matthew Flinders Girls Secondary College,3220,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,0.67
2254,Maxwell Creative School,3781,Berwick Surgicentre,Private,22 Langmore Lane Casey VIC 3806,12.03
2254,Maxwell Creative School,3781,Angliss Hospital,Public,39 Albert Street Albert VIC 3156,11.31
1949,Mazenod College,3170,The Victorian Rehabilitation Centre,Private,499 Springvale Road Monash VIC 3150,1.18
1949,Mazenod College,3170,Monash Medical Centre (Clayton),Public,246 Clayton Road Clayton VIC 3168,2.42
1481,McClelland Secondary College,3199,Frankston Hospital,Public,2 Hastings Road Frankston VIC 3199,1.62
1481,McClelland Secondary College,3199,St John of God Frankston Rehabilitation Hospital,Private,251-265 Cranbourne Road Frankston VIC 3199,0.47
672,McKinnon Primary School,3204,Monash Medical Centre (Moorabbin),Public,823-865 Centre Road Centre VIC 3165,1.06
672,McKinnon Primary School,3204,Bentleigh Surgicentre,Private,157 Jasper Road Jasper VIC 3204,1.05
1354,McKinnon Secondary College,3204,Bentleigh Surgicentre,Private,157 Jasper Road Jasper VIC 3204,0.68
1354,McKinnon Secondary College,3204,Monash Medical Centre (Moorabbin),Public,823-865 Centre Road Centre VIC 3165,1.01
996,Meadow Heights Primary School,3048,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,2.4
996,Meadow Heights Primary School,3048,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,4.68
1039,Meadowglen Primary School,3076,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,2.46
1039,Meadowglen Primary School,3076,The Northern Hospital,Public,185 Cooper Street Epping VIC 3076,2.19
1171,Meadows Primary School,3047,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,0.92
1171,Meadows Primary School,3047,Dorset Rehabilitation Centre,Private,146 Derby Street Moreland VIC 3044,2.65
1538,Melba Secondary College,3136,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,0.87
1538,Melba Secondary College,3136,Ringwood Private Hospital,Private,36 Mcclelland Road Maroondah VIC 3135,1.48
1469,Melbourne Girls College,3121,Caritas Christi Hospice Ltd,Public,104 Kooyong Road Kew VIC 3101,1.21
1469,Melbourne Girls College,3121,Epworth Hawthorn,Private,46-52 Burwood Road Boroondara VIC 3122,0.47
1634,Melbourne Girls Grammar,3141,Imaging@Olympic Park,Private,60 Olympic Boulevard Melbourne VIC 3004,0.46
1634,Melbourne Girls Grammar,3141,The Alfred,Public,55 Commercial Road Melbourne VIC 3004,0.97
2207,Melbourne Grammar School,3004,The Alfred,Public,55 Commercial Road Melbourne VIC 3004,0.87
2207,Melbourne Grammar School,3004,Albert Road Clinic,Private,31-33 Albert Road Albert VIC 3004,0.28
1342,Melbourne High School,3141,Toorak Cosmetic Surgery Day Centre,Private,109 Mathoura Road Stonnington VIC 3142,0.76
1342,Melbourne High School,3141,The Alfred,Public,55 Commercial Road Melbourne VIC 3004,0.94
2232,Melbourne Indigenous Transition School,3121,Epworth Richmond,Private,89 Bridge Road Yarra VIC 3121,0.24
2232,Melbourne Indigenous Transition School,3121,Eye and Ear on the Park,Public,2 Gordon Place Gordon VIC 3002,0.84
2212,Melbourne Montessori School,3162,Caulfield General Medical Centre,Public,260 Kooyong Road Caulfield VIC 3162,0.63
2212,Melbourne Montessori School,3162,Melbourne Day Surgery Centre,Private,961 High Road High VIC 3162,0.26
1967,Melbourne Rudolf Steiner School,3134,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,2.09
1967,Melbourne Rudolf Steiner School,3134,Ringwood Radiation Oncology Centre,Private,36 Frankston-flinders Road Maroondah VIC 3135,2.36
943,Melrose Primary School,3690,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,0.99
943,Melrose Primary School,3690,Albury Wodonga Health (Wodonga),Public,53-81 Vermont Street Wodonga VIC 3690,1.02
2087,Melton Christian College,3338,Melton Health,Public,195-209 Barries Road Barries VIC 3337,0.95
2087,Melton Christian College,3338,Sydenham Day Surgery,Private,566 Melton Highway Brimbank VIC 3037,10.88
50,Melton Primary School,3337,Melton Health,Public,195-209 Barries Road Barries VIC 3337,1.59
50,Melton Primary School,3337,Sydenham Day Surgery,Private,566 Melton Highway Brimbank VIC 3037,9.45
1343,Melton Secondary College,3337,Sydenham Day Surgery,Private,566 Melton Highway Brimbank VIC 3037,10.47
1343,Melton Secondary College,3337,Melton Health,Public,195-209 Barries Road Barries VIC 3337,0.6
578,Melton South Primary School,3338,Sydenham Day Surgery,Private,566 Melton Highway Brimbank VIC 3037,10.16
578,Melton South Primary School,3338,Melton Health,Public,195-209 Barries Road Barries VIC 3337,1.75
955,Melton Specialist School,3337,Sydenham Day Surgery,Private,566 Melton Highway Brimbank VIC 3037,10.47
955,Melton Specialist School,3337,Melton Health,Public,195-209 Barries Road Barries VIC 3337,0.65
883,Melton West Primary School,3337,Melton Health,Public,195-209 Barries Road Barries VIC 3337,0.78
883,Melton West Primary School,3337,Sydenham Day Surgery,Private,566 Melton Highway Brimbank VIC 3037,10.53
1344,Mentone Girls Secondary College,3194,Como Private Hospital,Private,152-156 Como Parade Kingston VIC 3195,1.28
1344,Mentone Girls Secondary College,3194,Kingston Centre,Public,400 Warrigal Road Heatherton VIC 3202,2.29
1746,Mentone Girls' Grammar School,3194,Kingston Centre,Public,400 Warrigal Road Heatherton VIC 3202,2.57
1746,Mentone Girls' Grammar School,3194,Como Private Hospital,Private,152-156 Como Parade Kingston VIC 3195,0.52
1735,Mentone Grammar School,3194,Kingston Centre,Public,400 Warrigal Road Heatherton VIC 3202,2.38
1735,Mentone Grammar School,3194,Como Private Hospital,Private,152-156 Como Parade Kingston VIC 3195,0.33
841,Mentone Park Primary School,3194,Como Private Hospital,Private,152-156 Como Parade Kingston VIC 3195,0.91
841,Mentone Park Primary School,3194,Kingston Centre,Public,400 Warrigal Road Heatherton VIC 3202,1.77
473,Mentone Primary School,3194,Kingston Centre,Public,400 Warrigal Road Heatherton VIC 3202,2.07
473,Mentone Primary School,3194,Como Private Hospital,Private,152-156 Como Parade Kingston VIC 3195,0.59
413,Menzies Creek Primary School,3159,Angliss Hospital,Public,39 Albert Street Albert VIC 3156,4.59
413,Menzies Creek Primary School,3159,The Melbourne Eastern Private Hospital,Private,153-159 Scoresby Road Knox VIC 3155,8.1
1517,Merbein P-10 College,3505,Mildura Base Hospital,Public,216-240 Ontario Avenue Mildura VIC 3500,4.25
1517,Merbein P-10 College,3505,Mildura Base Hospital,Private,216-240 Ontario Avenue Mildura VIC 3500,4.25
1941,Mercy College,3058,Royal Melbourne Hospital (Royal Park Campus),Public,34-56 Poplar Road Parkville VIC 3052,3.41
1941,Mercy College,3058,Coburg Endoscopy Centre,Private,15 Munro Street Moreland VIC 3058,1.01
