,School,Nearest Hospital,Hopsital Address,Distance (miles)
1156,Berwick Chase Primary School,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,1.53
1157,Pakenham Lakeside Primary School,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,5.35
1158,Davis Creek Primary School,Westpoint Endoscopy Day Hospital,243 Heaths Road Wyndham VIC 3030,1.83
1159,Pakenham Springs Primary School,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,7.32
1160,Taylors Hill Primary School,Sydenham Day Surgery,566 Melton Highway Brimbank VIC 3037,1.61
1161,Cranbourne Carlisle Primary School,The Hampton Park Women's Health Care Centre,4 Warana Drive Casey VIC 3976,4.02
1162,Aurora School,Bellbird Private Hospital,198 Canterbury Road Whitehorse VIC 3130,0.56
1163,Derrimut Primary School,St Albans Endoscopy Centre,328-330 Station Road Brimbank VIC 3021,3.25
1164,Epping Views Primary School,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,1.7
1165,Echuca Twin Rivers Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,41.22
1166,Cranbourne East Primary School,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,4.76
1167,Yuille Park P-8 Community College,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,1.11
1168,Lyndhurst Primary School,The Hampton Park Women's Health Care Centre,4 Warana Drive Casey VIC 3976,3.1
1169,Aitken Creek Primary School,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,7.38
1170,Reservoir Views Primary School,Hyperbaric Health Wound Centre Bundoora,920 Plenty Road Darebin VIC 3083,1.41
1171,Meadows Primary School,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,2.65
1172,Mernda Park Primary School,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,5.42
1173,Sunshine Harvester Primary School,Dr Scope,493 Ballarat Road Brimbank VIC 3020,0.81
1174,Pakenham Primary School,St John of God Berwick Day Oncology Centre,1/55 Kangan Drive Casey VIC 3806,9.14
1175,Alamanda K-9 College,Wyndham Clinic,242A Hoppers Lane Wyndham VIC 3030,2.66
1176,Whitehorse Primary School,Donvale Rehabilitation Hospital,1119-1121 Doncaster Road Manningham VIC 3109,1.23
1177,Golden Square Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,0.64
1178,Lalor Gardens Primary School,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,1.03
1179,Chandler Park Primary School,Noble Park Endoscopy Centre,1304 Heatherton Road Heatherton VIC 3174,1.82
1180,Keysborough Primary School,Windsor Avenue Day Surgery,17 Windsor Avenue Windsor VIC 3171,2.16
1181,Lyndale Greens Primary School,St John of God Pinelodge Clinic,1480-1486 Heatherton Road Heatherton VIC 3175,0.58
1182,Athol Road Primary School,Windsor Avenue Day Surgery,17 Windsor Avenue Windsor VIC 3171,1.36
1183,Springvale Rise Primary School,Springvale Endoscopy Centre and Day Hospital,20 Balmoral Avenue Balmoral VIC 3171,0.87
1184,Spring Parks Primary School,Windsor Avenue Day Surgery,17 Windsor Avenue Windsor VIC 3171,0.74
1185,Keilor Views Primary School,Keilor Private,12A Kennedy Street Brimbank VIC 3036,1.36
1186,Wyndham Park Primary School,Westpoint Endoscopy Day Hospital,243 Heaths Road Wyndham VIC 3030,0.54
1187,Lightning Reef Primary School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,1.75
1188,Glenroy Central Primary School,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,1.79
1189,William Ruthven Primary School,Reservoir Private Hospital Day Procedure Centre,73-75 Pine Street Darebin VIC 3073,1.47
1190,Newbury Primary School,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,7.72
1191,Dallas Brooks Community Primary School,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,3.66
1192,Horsham Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,106.03
1193,Wyndham Vale Primary School,Westpoint Endoscopy Day Hospital,243 Heaths Road Wyndham VIC 3030,4.03
1194,Officer Specialist School,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,4.01
1195,Epping Primary School,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,0.97
1196,Hazel Glen College,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,7.04
1197,Tulliallan Primary School,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,2.69
1198,Coolaroo South Primary School,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,4.31
1199,Jacana School for Autism,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,3.09
1200,Torquay Coast Primary School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,7.75
1201,Arnolds Creek Primary School,Sydenham Day Surgery,566 Melton Highway Brimbank VIC 3037,11.97
1202,Wilandra Rise Primary School,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,4.6
1203,South Melbourne Primary School,Albert Road Clinic,31-33 Albert Road Albert VIC 3004,1.08
1204,Barton Primary School,Peninsula Private Hospital,525 Mcclelland Drive Frankston VIC 3910,4.78
1205,John Henry Primary School,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,5.72
1206,South Melbourne Park Primary School,Albert Road Clinic,31-33 Albert Road Albert VIC 3004,0.67
1207,Bridgewood Primary School,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,4.45
1208,Armstrong Creek School,The Geelong Clinic,94-102 Townsend Road Townsend VIC 3219,3.76
1209,Hamlyn Views School,St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,2.27
1210,Aireys Inlet Primary School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,21.02
1211,Aitken Hill Primary School,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,6.59
1212,Morwell Central Primary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,1.29
1213,Ashley Park Primary School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,6.28
1214,Casey Fields Primary School,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,5.76
1215,Mirripoa Primary School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,2.47
1216,Keysborough Gardens Primary School,Chelsea Heights Day Surgery & Endoscopy,93 Wells Road Kingston VIC 3196,2.22
1217,Alvie Consolidated School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,43.74
1218,Apollo Bay P-12 College,Epworth Geelong,1 Epworth Place Epworth VIC 3216,52.05
1219,Boisdale Consolidated School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,12.63
1220,Cobram Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,32.81
1221,Cohuna Consolidated School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,65.94
1222,Collingwood College,East Melbourne Specialist Day Hospital,23 Clarendon Street Melbourne VIC 3002,0.6
1223,Dunkeld Consolidated School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,51.07
1224,East Loddon P-12 College,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,27.69
1225,Foster Primary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,32.69
1226,Goroke P-12 College,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,126.58
1227,Heywood Consolidated School,South West Regional Cancer Centre,26 Ryot Street Warrnambool VIC 3280,49.98
1228,Kiewa Valley Primary School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,11.95
1229,Lavers Hill K-12 College,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,53.45
1230,Lockington Consolidated School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,37.44
1231,Manangatang P-12 College,Mildura Health Private Hospital,220-228 Thirteenth Street Mildura VIC 3500,73.38
1232,Terang College,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,25.52
1233,Merino Consolidated School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,68.42
1234,Rushworth P-12 College,Nagambie HealthCare,22 Church Street Strathbogie VIC 3608,15.58
1235,Macleod College,Heidelberg Endoscopy and Day Surgery Centre,177-179 Northern Road Banyule VIC 3081,0.77
1236,Pakenham Consolidated School,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,6.66
1237,Poowong Consolidated School,Neerim District Health Service,29-39 Church Road Church VIC 3831,24.27
1238,Port Fairy Consolidated School,South West Regional Cancer Centre,26 Ryot Street Warrnambool VIC 3280,13.35
1239,Red Hill Consolidated School,Rosebud SurgiCentre,1537 Pine Road Pine VIC 3940,6.07
1240,Sherbrooke Community School,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,4.52
1241,Tongala Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,26.41
1242,Werrimull P-12 School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,34.44
1243,Camperdown College,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,37.32
1244,Timboon P-12 School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,28.04
1245,Virtual School Victoria,North Eastern Rehabilitation Centre,134-146 Ford Street Banyule VIC 3079,0.32
1246,Wedderburn College,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,42.93
1247,Mount Erin Secondary College,Frankston Radiation Oncology Centre,26 Frankston-flinders Road Frankston VIC 3199,1.55
1248,Box Hill Senior Secondary College,Epworth Eastern,1 Arnold Street Whitehorse VIC 3128,0.56
1249,Edgars Creek Secondary College,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,2.81
1250,Elevation Secondary College,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,7.44
1251,Cobden Technical School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,31.9
1252,Lyndhurst Secondary College,The Hampton Park Women's Health Care Centre,4 Warana Drive Casey VIC 3976,3.03
1253,Daylesford Secondary College,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,18.65
1254,Dromana Secondary College,Rosebud SurgiCentre,1537 Pine Road Pine VIC 3940,7.18
1255,Grovedale College,Epworth Geelong,1 Epworth Place Epworth VIC 3216,1.66
1256,Irymple Secondary College,Mildura Health Private Hospital,220-228 Thirteenth Street Mildura VIC 3500,3.46
1257,Crusoe 7-10 Secondary College,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,2.41
1258,Peter Lalor Secondary College,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,1.18
1259,Lilydale Heights College,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,5.22
1260,Staughton College,Sydenham Day Surgery,566 Melton Highway Brimbank VIC 3037,10.46
1261,Chaffey Secondary College,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,0.76
1262,Bentleigh Secondary College,Holmesglen Private Hospital,488-490 South Road Kingston VIC 3189,0.77
1263,Mount Clear College,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,3.83
1264,Rosehill Secondary College,The Essendon Private Hospital,35 Rosehill Road Rosehill VIC 3040,0.13
1265,Northern College of the Arts and Technology,Panch Day Surgery Centre,84-90 Hotham Street Darebin VIC 3072,1.07
1266,Swinburne Senior Secondary College,Glenferrie Private Hospital,29 Hilda Crescent Boroondara VIC 3122,0.6
1267,Victorian College Of The Arts Secondary School,Albert Road Clinic,31-33 Albert Road Albert VIC 3004,0.58
1268,Brauer Secondary College,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,1.41
1269,Wyndham Central Secondary College,Westpoint Endoscopy Day Hospital,243 Heaths Road Wyndham VIC 3030,1.62
1270,Weeroona College Bendigo,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,2.47
1271,Whittlesea Secondary College,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,11.13
1272,Alexandra Secondary College,Euroa Health Inc,36 Kennedy Street Strathbogie VIC 3666,30.89
1273,Auburn High School,Epworth Rehabilitation Camberwell,888 Toorak Road Boroondara VIC 3124,0.67
1274,Ballarat High School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,1.24
1275,Balwyn High School,Kew Endoscopy,828 High Street Boroondara VIC 3102,0.82
1276,Bayswater Secondary College,Bayswater Day Procedure and Specialist Centre,664 Mountain Highway Knox VIC 3153,0.2
1277,Beaufort Secondary College,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,25.69
1278,Beaumaris Secondary College,Chesterville Day Hospital,28 Chesterville Road Kingston VIC 3192,1.75
1279,Beechworth Secondary College,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,17.72
1280,Belmont High School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,1.89
1281,Bendigo Senior Secondary College,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,0.97
1282,Berwick Secondary College,Berwick Surgicentre,22 Langmore Lane Casey VIC 3806,1.04
1283,Blackburn High School,Bellbird Private Hospital,198 Canterbury Road Whitehorse VIC 3130,1.58
1284,Box Hill High School,Vision Day Surgery Eastern,852 Whitehorse Road Whitehorse VIC 3128,0.98
1285,Braybrook College,Dr Scope,493 Ballarat Road Brimbank VIC 3020,0.82
1286,Brentwood Secondary College,The Victorian Rehabilitation Centre,499 Springvale Road Monash VIC 3150,0.24
1287,Brighton Secondary College,Epworth Rehabilitation Brighton,85-93 Wilson Street Bayside VIC 3186,1.01
1288,Broadford Secondary College,Nagambie HealthCare,22 Church Street Strathbogie VIC 3608,29.82
1289,Buckley Park College,The Essendon Private Hospital,35 Rosehill Road Rosehill VIC 3040,0.68
1290,Camberwell High School,Linley Clinic,25 Bryson Street Boroondara VIC 3126,0.49
1291,Canterbury Girls Secondary College,Linley Clinic,25 Bryson Street Boroondara VIC 3126,0.82
1292,Casterton Secondary College,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,80.4
1293,Cheltenham Secondary College,Chesterville Day Hospital,28 Chesterville Road Kingston VIC 3192,0.8
1294,Cobram Secondary College,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,33.61
1295,Cohuna Secondary College,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,65.42
1296,Cranbourne Secondary College,The Hampton Park Women's Health Care Centre,4 Warana Drive Casey VIC 3976,5.34
1297,Croydon Community School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,0.91
1298,Mount Alexander 7-12 College,Diaverum North Melbourne Dialysis Clinic,185 Boundary Road Melbourne VIC 3051,0.58
1299,Dimboola Memorial Secondary College,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,124.68
1300,East Doncaster Secondary College,Donvale Rehabilitation Hospital,1119-1121 Doncaster Road Manningham VIC 3109,0.89
1301,Donald High School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,76.52
1302,Doncaster Secondary College,Manningham Day Procedure Centre,503/200 High Street Manningham VIC 3107,1.48
1303,Drouin Secondary College,Neerim District Health Service,29-39 Church Road Church VIC 3831,10.15
1304,Eaglehawk Secondary College,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,2.89
1305,Eltham High School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,2.29
1306,Elwood College,St Kilda Day Hospital,26A Dickens Street Dickens VIC 3184,0.66
1307,Epping Secondary College,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,1.39
1308,Euroa Secondary College,Euroa Health Inc,36 Kennedy Street Strathbogie VIC 3666,0.3
1309,Fairhills High School,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,1.32
1310,Bendigo South East 7-10 Secondary College,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,2.09
1311,Footscray High School,Western Gastroenterology Services,30 Eleanor Street Maribyrnong VIC 3011,0.48
1312,Foster Secondary College,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,32.42
1313,Frankston High School,Frankston Radiation Oncology Centre,26 Frankston-flinders Road Frankston VIC 3199,0.47
1314,Geelong High School,Specialist Surgicentre Geelong,200 Malop Street Malop VIC 3220,0.49
1315,North Geelong Secondary College,St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,3.0
1316,Gisborne Secondary College,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,10.66
1317,Gladstone Park Secondary College,Keilor Private,12A Kennedy Street Brimbank VIC 3036,3.7
1318,Bundoora Secondary College,Victorian Gut Centre,119 Plenty Road Whittlesea VIC 3083,1.03
1319,Greater Shepparton Secondary College,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,1.07
1320,Western Port Secondary College,Beleura Private Hospital,925 Nepean Highway Nepean VIC 3931,8.95
1321,Healesville High School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,17.49
1322,Heywood District Secondary College,South West Regional Cancer Centre,26 Ryot Street Warrnambool VIC 3280,49.55
1323,Highvale Secondary College,Vermont Private Hospital,645-647 Burwood Hwy Whitehorse VIC 3133,1.33
1324,Kerang Technical High School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,74.04
1325,Kensington Community High School,Diaverum North Melbourne Dialysis Clinic,185 Boundary Road Melbourne VIC 3051,0.79
1326,Kew High School,Kew Endoscopy,828 High Street Boroondara VIC 3102,0.1
1327,Koonung Secondary College,Epworth Eastern,1 Arnold Street Whitehorse VIC 3128,0.86
1328,Koo Wee Rup Secondary College,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,13.3
1329,Korumburra Secondary College,Neerim District Health Service,29-39 Church Road Church VIC 3831,30.22
1330,Kyabram P-12 College,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,19.99
1331,Kyneton High School,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,27.26
1332,Lalor Secondary College,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,1.95
1333,Lalor North Secondary College,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,1.55
1334,Lilydale High School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,4.49
1335,Lorne P-12 College,Epworth Geelong,1 Epworth Place Epworth VIC 3216,29.82
1336,Lyndale Secondary College,St John of God Pinelodge Clinic,1480-1486 Heatherton Road Heatherton VIC 3175,0.85
1337,Lynall Hall Community School,The Melbourne Clinic,130 Church Street Yarra VIC 3121,0.19
1338,Maffra Secondary College,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,10.88
1339,Mansfield Secondary College,Euroa Health Inc,36 Kennedy Street Strathbogie VIC 3666,35.53
1340,Maribyrnong Secondary College,Western Gastroenterology Services,30 Eleanor Street Maribyrnong VIC 3011,0.87
1341,Matthew Flinders Girls Secondary College,St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,0.28
1342,Melbourne High School,Toorak Cosmetic Surgery Day Centre,109 Mathoura Road Stonnington VIC 3142,0.76
1343,Melton Secondary College,Sydenham Day Surgery,566 Melton Highway Brimbank VIC 3037,10.47
1344,Mentone Girls Secondary College,Como Private Hospital,152-156 Como Parade Kingston VIC 3195,1.28
1345,Mildura Senior College,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,0.87
1346,Mirboo North Secondary College,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,19.44
1347,Monbulk College,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,8.93
1348,Montmorency Secondary College,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,0.69
1349,Mooroolbark College,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,2.72
1350,Mordialloc College,Como Private Hospital,152-156 Como Parade Kingston VIC 3195,1.84
1351,Mount Beauty Secondary College,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,44.55
1352,Mount Eliza Secondary College,Frankston Radiation Oncology Centre,26 Frankston-flinders Road Frankston VIC 3199,3.25
1353,Mount Waverley Secondary College,Waverley Endoscopy,301 Blackburn Road Monash VIC 3149,1.1
1354,McKinnon Secondary College,Bentleigh Surgicentre,157 Jasper Road Jasper VIC 3204,0.68
1355,MacRobertson Girls High School,Albert Road Clinic,31-33 Albert Road Albert VIC 3004,0.11
1356,Nathalia Secondary College,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,23.54
1357,Neerim District Secondary College,Neerim District Health Service,29-39 Church Road Church VIC 3831,0.38
1358,Newcomb Secondary College,The Geelong Clinic,94-102 Townsend Road Townsend VIC 3219,0.76
1359,Northcote High School,Brunswick Private Hospital,82 Moreland Road Moreland VIC 3056,1.57
1360,Norwood Secondary College,Ringwood Radiation Oncology Centre,36 Frankston-flinders Road Maroondah VIC 3135,0.86
1361,Numurkah Secondary College,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,19.36
1362,Oberon High School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,1.84
1363,Orbost Secondary College,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,93.93
1364,Ouyen P-12 College,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,61.45
1365,Pakenham Secondary College,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,7.05
1366,Parkdale Secondary College,Como Private Hospital,152-156 Como Parade Kingston VIC 3195,1.13
1367,Pascoe Vale Girls Secondary College,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,0.76
1368,Prahran High School,The Victoria Clinic,320-324 Malvern Road Stonnington VIC 3181,0.43
1369,Preston High School,Panch Day Surgery Centre,84-90 Hotham Street Darebin VIC 3072,0.36
1370,Princes Hill Secondary College,Melbourne Private Hospital,1F Royal Parade Melbourne VIC 3052,1.16
1371,Homestead Senior Secondary College,Wyndham Clinic,242A Hoppers Lane Wyndham VIC 3030,4.13
1372,Bellarine Secondary College,The Geelong Clinic,94-102 Townsend Road Townsend VIC 3219,8.97
1373,Rainbow P-12 College,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,118.1
1374,Red Cliffs Secondary College,Mildura Health Private Hospital,220-228 Thirteenth Street Mildura VIC 3500,8.37
1375,Ringwood Secondary College,Ringwood Radiation Oncology Centre,36 Frankston-flinders Road Maroondah VIC 3135,0.44
1376,Richmond High School,The Melbourne Clinic,130 Church Street Yarra VIC 3121,0.25
1377,Robinvale College,Mildura Health Private Hospital,220-228 Thirteenth Street Mildura VIC 3500,45.8
1378,Rochester Secondary College,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,37.16
1379,Rosebud Secondary College,Rosebud SurgiCentre,1537 Pine Road Pine VIC 3940,0.45
1380,Rutherglen High School,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,21.25
1381,Saltwater P-9 College,Wyndham Clinic,242A Hoppers Lane Wyndham VIC 3030,4.15
1382,Scoresby Secondary College,Knox Private Hospital,262 Mountain Highway Knox VIC 3152,2.78
1383,St Albans Secondary College,Fresenius Medical Care Sunshine Dialysis Clinic,147-149 Furlong Road Brimbank VIC 3021,1.15
1384,St Arnaud Secondary College,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,57.1
1385,Oakwood School,Toorak - Malvern Day Surgery Centre,30-32 Glenferrie Road Stonnington VIC 3144,0.76
1386,Strathmore Secondary College,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,1.48
1387,Sunbury College,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,1.21
1388,Sydney Road Community School,Brunswick Private Hospital,82 Moreland Road Moreland VIC 3056,1.06
1389,Tallangatta Secondary College,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,17.51
1390,Thomastown Secondary College,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,2.02
1391,Trafalgar High School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,14.17
1392,Dohertys Creek P-9 College,Wyndham Clinic,242A Hoppers Lane Wyndham VIC 3030,3.54
1393,University High School,Frances Perry House,20 Flemington Road Melbourne VIC 3052,0.14
1394,Roxburgh College,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,4.53
1395,Upper Yarra Secondary College,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,18.38
1396,Upwey High School,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,4.98
1397,Vermont Secondary College,Vermont Private Hospital,645-647 Burwood Hwy Whitehorse VIC 3133,1.0
1398,Kambrya College,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,0.59
1399,Carrum Downs Secondary College,Peninsula Private Hospital,525 Mcclelland Drive Frankston VIC 3910,4.57
1400,Wangaratta High School,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,0.39
1401,Wantirna College,Knox Private Hospital,262 Mountain Highway Knox VIC 3152,0.61
1402,Warracknabeal Secondary College,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,109.74
1403,Warrandyte High School,Donvale Rehabilitation Hospital,1119-1121 Doncaster Road Manningham VIC 3109,2.96
1404,Wellington Secondary College,Springvale Endoscopy Centre and Day Hospital,20 Balmoral Avenue Balmoral VIC 3171,1.5
1405,Werribee Secondary College,Werribee Endoscopy Centre,179 Princes Highway Wyndham VIC 3030,1.43
1406,Bairnsdale Secondary College,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,46.03
1407,Westall Secondary College,Springvale Endoscopy Centre and Day Hospital,20 Balmoral Avenue Balmoral VIC 3171,0.95
1408,Wheelers Hill Secondary College,The Victorian Rehabilitation Centre,499 Springvale Road Monash VIC 3150,1.34
1409,Williamstown High School,Altona Endoscopy Centre,3-5 Sargood Street Sargood VIC 3018,3.67
1410,Wodonga Senior Secondary College,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,0.94
1411,Yarram Secondary College,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,28.24
1412,Woodmans Hill Secondary College,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,2.46
1413,Yea High School,Euroa Health Inc,36 Kennedy Street Strathbogie VIC 3666,32.68
1414,Glen Eira College,Melbourne Day Surgery Centre,961 High Road High VIC 3162,0.44
1415,Craigieburn Secondary College,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,4.95
1416,Emerald Secondary College,Berwick Surgicentre,22 Langmore Lane Casey VIC 3806,9.71
1417,Reservoir High School,Hyperbaric Health Wound Centre Bundoora,920 Plenty Road Darebin VIC 3083,0.9
1418,Hampton Park Secondary College,The Hampton Park Women's Health Care Centre,4 Warana Drive Casey VIC 3976,0.52
1419,Hoppers Crossing Secondary College,Westpoint Endoscopy Day Hospital,243 Heaths Road Wyndham VIC 3030,0.96
1420,Keilor Downs Secondary College,Keilor Private,12A Kennedy Street Brimbank VIC 3036,1.27
1421,Kurnai College,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,1.22
1422,Kurunjang Secondary College,Sydenham Day Surgery,566 Melton Highway Brimbank VIC 3037,9.57
1423,Lakes Entrance Secondary College,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,66.76
1424,Elisabeth Murdoch College,Peninsula Private Hospital,525 Mcclelland Drive Frankston VIC 3910,1.1
