,School,Nearest Hospital,Hopsital Address,Distance (miles)
1071,Oatlands Primary School,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,3.15
1072,Westgrove Primary School,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,2.23
1073,Peranbin Primary College,Benalla Health,47-63 Coster Street Benalla VIC 3672,16.32
1074,Barwon Valley School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,2.79
1075,Pentland Primary School,Djerriwarrh Health Services (Bacchus Marsh),29-35 Grant Street Grant VIC 3340,1.62
1076,Pakenham Hills Primary School,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,8.11
1077,Courtenay Gardens Primary School,Cranbourne Integrated Care Centre,140-154 Sladen Street Cranbourne VIC 3977,2.29
1078,Somerville Rise Primary School,Golf Links Road Rehabilitation Centre,125 Market Road Frankston VIC 3199,4.07
1079,Derrinallum P-12 College,Beaufort & Skipton Health Service (Skipton),2 Blake Street Skipton VIC 3361,19.45
1080,Mortlake P-12 College,Terang and Mortlake Health Service (Terang),13 Austin Avenue Terang VIC 3264,11.7
1081,Branxholme-Wallacedale Community School,Hamilton Base Hospital,20 Foster Street Hamilton VIC 3300,15.09
1082,Mount Duneed Regional Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,6.69
1083,Grasmere Primary School,South West Healthcare (Warrnambool),25 Ryot Street Warrnambool VIC 3280,7.06
1084,Narrawong District Primary School,Portland District Health,141-151 Bentinck Street Portland VIC 3305,8.56
1085,Canadian Lead Primary School,Ballarat Hospital,1 Drummond Street Drummond VIC 3350,1.85
1086,Caledonian Primary School,Ballarat Hospital,1 Drummond Street Drummond VIC 3350,2.58
1087,Grayling Primary School,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,2.96
1088,Tempy Primary School,Mallee Track Health and Community Service (Ouyen),28 Britt Street Ouyen VIC 3490,19.66
1089,Rawson Primary School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,18.34
1090,Bundalaguah Primary School,Central Gippsland Health Service (Maffra),42-48 Kent Street Maffra VIC 3860,4.57
1091,Lardner and District Primary School,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,3.38
1092,Neerim District Rural Primary School,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,17.37
1093,Nambrok Denison Primary School,Central Gippsland Health Service (Maffra),42-48 Kent Street Maffra VIC 3860,8.72
1094,Welshpool and District Primary School,South Gippsland Hospital (Foster),83 Station Road Foster VIC 3960,12.17
1095,Whitfield District Primary School,Alpine Health (Myrtleford),30-32 Odonnell Avenue Myrtleford VIC 3737,22.85
1096,Greta Valley Primary School,Benalla Health,47-63 Coster Street Benalla VIC 3672,14.19
1097,Everton Primary School,Beechworth Health Service,52 Sydney Road Beechworth VIC 3747,10.1
1098,Waaia Yalca South Primary School,Numurkah District Health Service,2 Katamatite-nathalia Road Numurkah VIC 3636,7.26
1099,Nangiloc Colignan and District Primary School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,23.37
1100,Tyrrell College,Mallee Track Health & Community Service (Sea Lake),33-43 Mcclelland Avenue Mcclelland VIC 3533,0.65
1101,Harcourt Valley Primary School,Castlemaine Health,142 Cornish Street Castlemaine VIC 3450,4.24
1102,Beverford District Primary School,Swan Hill District Health (Swan Hill),50-54 Splatt Street Splatt VIC 3585,8.65
1103,Niddrie Primary School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,3.74
1104,Lucas Primary School,"Queen Elizabeth Centre, The (Ballarat QEC)",102 Ascot Street Ascot VIC 3350,3.7
1105,Toolern Vale and District Primary School,Melton Health,195-209 Barries Road Barries VIC 3337,5.86
1106,Parkhill Primary School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,3.21
1107,Kananook Primary School,Frankston Hospital,2 Hastings Road Frankston VIC 3199,1.78
1108,Roberts McCubbin Primary School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,1.49
1109,Tarwin Valley Primary School,Gippsland Southern Health Service (Leongatha),64 Koonwarra Road Leongatha VIC 3953,7.26
1110,Bayles Regional Primary School,Kooweerup Regional Health Service,215 Rossiter Road Rossiter VIC 3981,4.75
1111,Le Page Primary School,Kingston Centre,400 Warrigal Road Heatherton VIC 3202,0.72
1112,Powlett River Primary School,Bass Coast Health,235 Graham Street Wonthaggi VIC 3995,3.8
1113,Glen Waverley Primary School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,1.55
1114,Carrington Primary School,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,3.18
1115,Albany Rise Primary School,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,2.81
1116,Amsleigh Park Primary School,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,1.58
1117,Knox Central Primary School,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,1.81
1118,Mount Waverley North Primary School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,1.64
1119,Rangeview Primary School,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,1.68
1120,Edenhope College,Edenhope & District Hospital,124-134 Elizabeth Street Edenhope VIC 3318,0.54
1121,Murrayville Community College,West Wimmera Health Service (Rainbow),2 Swinbourne Avenue Rainbow VIC 3424,63.71
1122,Hawkesdale P12 College,Penshurst & District Memorial Hospital,146 Cobb Street Penshurst VIC 3289,15.97
1123,Carwatha College P-12,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,2.1
1124,Glen Waverley South Primary School,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,2.96
1125,Streeton Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,2.96
1126,Woorinen District Primary School,Swan Hill District Health (Swan Hill),50-54 Splatt Street Splatt VIC 3585,6.76
1127,Woady Yaloak Primary School,"Queen Elizabeth Centre, The (Ballarat QEC)",102 Ascot Street Ascot VIC 3350,10.24
1128,Millwarra Primary School,Healesville and District Hospital,377 Maroondah Highway Healesville VIC 3777,9.94
1129,Gormandale And District Primary School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,13.64
1130,Roxburgh Homestead Primary School,Craigieburn Health Service,274-304 Craigieburn Road Craigieburn VIC 3064,2.47
1131,Newcomb Park Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,1.88
1132,Dinjerra Primary School,Ursula Frayne Centre,160 Gordon Street Footscray VIC 3011,1.69
1133,Belle Vue Park Primary School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,2.04
1134,Doncaster Gardens Primary School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,2.75
1135,Nyah District Primary School,Swan Hill District Health (Swan Hill),50-54 Splatt Street Splatt VIC 3585,16.1
1136,Strathaird Primary School,Cranbourne Integrated Care Centre,140-154 Sladen Street Cranbourne VIC 3977,3.47
1137,Marnebek School Cranbourne,Cranbourne Integrated Care Centre,140-154 Sladen Street Cranbourne VIC 3977,0.9
1138,Great Ryrie Primary School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,1.51
1139,Timbarra P-9 College,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,2.43
1140,Parkwood Green Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,5.73
1141,Hillsmeade Primary School,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,2.55
1142,Roxburgh Park Primary School,Craigieburn Health Service,274-304 Craigieburn Road Craigieburn VIC 3064,2.69
1143,Carranballac P-9 College,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,2.4
1144,Benton Junior College,The Mornington Centre,24 Separation Street Mornington VIC 3931,1.52
1145,Caulfield Primary School,Caulfield General Medical Centre,260 Kooyong Road Caulfield VIC 3162,0.43
1146,East Gippsland Specialist School,Bairnsdale Regional Health Service,122 Day Street Bairnsdale VIC 3875,0.55
1147,Roxburgh Rise Primary School,Craigieburn Health Service,274-304 Craigieburn Road Craigieburn VIC 3064,1.38
1148,Lynbrook Primary School,Cranbourne Integrated Care Centre,140-154 Sladen Street Cranbourne VIC 3977,4.53
1149,South Gippsland Specialist School,Gippsland Southern Health Service (Leongatha),64 Koonwarra Road Leongatha VIC 3953,0.74
1150,Laurimar Primary School,The Northern Hospital,185 Cooper Street Epping VIC 3076,7.67
1151,Truganina South Primary School,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,2.06
1152,Kororoit Creek Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,3.78
1153,Harvest Home Primary School,The Northern Hospital,185 Cooper Street Epping VIC 3076,2.22
1154,Truganina P-9 College,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,3.42
1155,Burnside Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,3.59
1156,Berwick Chase Primary School,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,1.55
1157,Pakenham Lakeside Primary School,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,5.27
1158,Davis Creek Primary School,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,2.97
1159,Pakenham Springs Primary School,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,7.24
1160,Taylors Hill Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,4.28
1161,Cranbourne Carlisle Primary School,Cranbourne Integrated Care Centre,140-154 Sladen Street Cranbourne VIC 3977,1.83
1162,Aurora School,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,1.11
1163,Derrimut Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,3.53
1164,Epping Views Primary School,The Northern Hospital,185 Cooper Street Epping VIC 3076,1.74
1165,Echuca Twin Rivers Primary School,Echuca Regional Health,226 Service Street Echuca VIC 3564,1.38
1166,Cranbourne East Primary School,Cranbourne Integrated Care Centre,140-154 Sladen Street Cranbourne VIC 3977,1.39
1167,Yuille Park P-8 Community College,Ballarat Hospital,1 Drummond Street Drummond VIC 3350,2.61
1168,Lyndhurst Primary School,Cranbourne Integrated Care Centre,140-154 Sladen Street Cranbourne VIC 3977,3.0
1169,Aitken Creek Primary School,Craigieburn Health Service,274-304 Craigieburn Road Craigieburn VIC 3064,1.28
1170,Reservoir Views Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,1.78
1171,Meadows Primary School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,0.92
1172,Mernda Park Primary School,The Northern Hospital,185 Cooper Street Epping VIC 3076,5.22
1173,Sunshine Harvester Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,2.27
1174,Pakenham Primary School,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,9.05
1175,Alamanda K-9 College,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,2.77
1176,Whitehorse Primary School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,2.7
1177,Golden Square Primary School,Bendigo Health (Anne Caudle),100A Barnard Street Bendigo VIC 3550,1.83
1178,Lalor Gardens Primary School,The Northern Hospital,185 Cooper Street Epping VIC 3076,1.07
1179,Chandler Park Primary School,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,1.4
1180,Keysborough Primary School,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,1.59
1181,Lyndale Greens Primary School,Dandenong Hospital,135 David Street Dandenong VIC 3175,1.12
1182,Athol Road Primary School,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,1.55
1183,Springvale Rise Primary School,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,2.38
1184,Spring Parks Primary School,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,2.31
1185,Keilor Views Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,2.94
1186,Wyndham Park Primary School,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,1.24
1187,Lightning Reef Primary School,"Bendigo Hospital, The",62 Lucan Street Bendigo VIC 3550,1.14
1188,Glenroy Central Primary School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,1.52
1189,William Ruthven Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,2.87
1190,Newbury Primary School,Craigieburn Health Service,274-304 Craigieburn Road Craigieburn VIC 3064,1.84
1191,Dallas Brooks Community Primary School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,1.83
1192,Horsham Primary School,Wimmera Base Hospital (Horsham),83 Baillie Street Horsham VIC 3400,0.33
1193,Wyndham Vale Primary School,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,4.94
1194,Officer Specialist School,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,3.93
1195,Epping Primary School,The Northern Hospital,185 Cooper Street Epping VIC 3076,0.79
1196,Hazel Glen College,The Northern Hospital,185 Cooper Street Epping VIC 3076,6.86
1197,Tulliallan Primary School,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,2.74
1198,Coolaroo South Primary School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,1.8
1199,Jacana School for Autism,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,0.24
1200,Torquay Coast Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,10.56
1201,Arnolds Creek Primary School,Melton Health,195-209 Barries Road Barries VIC 3337,1.65
1202,Wilandra Rise Primary School,Cranbourne Integrated Care Centre,140-154 Sladen Street Cranbourne VIC 3977,2.17
1203,South Melbourne Primary School,Eye and Ear on the Park,2 Gordon Place Gordon VIC 3002,1.78
1204,Barton Primary School,Cranbourne Integrated Care Centre,140-154 Sladen Street Cranbourne VIC 3977,2.26
1205,John Henry Primary School,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,5.64
1206,South Melbourne Park Primary School,The Alfred,55 Commercial Road Melbourne VIC 3004,1.12
1207,Bridgewood Primary School,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,4.38
1208,Armstrong Creek School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,5.62
1209,Hamlyn Views School,McKellar Centre (Geelong),45-99 Ballarat Road Ballarat VIC 3215,0.46
1210,Aireys Inlet Primary School,Lorne Community Hospital,1 Albert Street Lorne VIC 3232,9.27
1211,Aitken Hill Primary School,Craigieburn Health Service,274-304 Craigieburn Road Craigieburn VIC 3064,0.86
1212,Morwell Central Primary School,Latrobe Regional Hospital,10 Village Avenue Traralgon VIC 3844,3.58
1213,Ashley Park Primary School,The Northern Hospital,185 Cooper Street Epping VIC 3076,6.66
1214,Casey Fields Primary School,Cranbourne Integrated Care Centre,140-154 Sladen Street Cranbourne VIC 3977,1.09
1215,Mirripoa Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,5.47
1216,Keysborough Gardens Primary School,"Queen Elizabeth Centre, The",37-53 Thomas Street Thomas VIC 3174,2.74
1217,Alvie Consolidated School,Colac Area Health,12 Connor Street Colac VIC 3250,8.15
1218,Apollo Bay P-12 College,Otway Health,75 Mclachlan Street Mclachlan VIC 3233,0.22
1219,Boisdale Consolidated School,Central Gippsland Health Service (Maffra),42-48 Kent Street Maffra VIC 3860,5.63
1220,Cobram Primary School,Cobram District Health,24-32 Broadway Street Cobram VIC 3644,0.59
1221,Cohuna Consolidated School,Cohuna District Hospital,144-158 Broadway Street Cohuna VIC 3568,0.42
1222,Collingwood College,St Vincent's Hospital,41 Victoria Parade Fitzroy VIC 3065,0.88
1223,Dunkeld Consolidated School,Penshurst & District Memorial Hospital,146 Cobb Street Penshurst VIC 3289,16.73
1224,East Loddon P-12 College,Inglewood and Districts Health Service,3 Hospital Street Inglewood VIC 3517,20.33
1225,Foster Primary School,South Gippsland Hospital (Foster),83 Station Road Foster VIC 3960,0.25
1226,Goroke P-12 College,Edenhope & District Hospital,124-134 Elizabeth Street Edenhope VIC 3318,24.52
1227,Heywood Consolidated School,Heywood Rural Health,21 Barclay Street Heywood VIC 3304,0.96
1228,Kiewa Valley Primary School,Tallangatta Health Service,25 Barree Street Tallangatta VIC 3700,8.5
1229,Lavers Hill K-12 College,Otway Health,75 Mclachlan Street Mclachlan VIC 3233,16.01
1230,Lockington Consolidated School,Rochester and Elmore District Health Service,1 Pascoe Street Rochester VIC 3561,11.36
1231,Manangatang P-12 College,Robinvale District Health Services (Managatang),37-39 Pioneer Street Manangatang VIC 3546,0.43
1232,Terang College,Terang and Mortlake Health Service (Terang),13 Austin Avenue Terang VIC 3264,1.14
1233,Merino Consolidated School,Western District Health Service (Coleraine),71 Mcleod Street Coleraine VIC 3315,10.79
1234,Rushworth P-12 College,Waranga Memorial Hospital,14 Coyle Street Rushworth VIC 3612,0.46
1235,Macleod College,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,1.89
1236,Pakenham Consolidated School,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,6.57
1237,Poowong Consolidated School,Gippsland Southern Health Service (Korumburra),65-77 Bridge Street Korumburra VIC 3950,6.85
1238,Port Fairy Consolidated School,Moyne Health Services (Port Fairy),32 Villiers Street Villiers VIC 3284,0.36
1239,Red Hill Consolidated School,Rosebud Hospital,1527 Pascoe Road Pascoe VIC 3940,6.02
1240,Sherbrooke Community School,Angliss Hospital,39 Albert Street Albert VIC 3156,2.87
1241,Tongala Primary School,Kyabram and District Health Services,86-96 Fenaughty Street Kyabram VIC 3620,6.47
1242,Werrimull P-12 School,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,34.44
1243,Camperdown College,South West Healthcare (Camperdown),9 Robinson Street Camperdown VIC 3260,0.45
1244,Timboon P-12 School,Timboon and District Healthcare Service,21 Hospital Road Timboon VIC 3268,0.17
1245,Virtual School Victoria,Heidelberg Repatriation Hospital,300 Waterdale Road Waterdale VIC 3081,1.26
1246,Wedderburn College,Inglewood and Districts Health Service,3 Hospital Street Inglewood VIC 3517,17.77
1247,Mount Erin Secondary College,Golf Links Road Rehabilitation Centre,125 Market Road Frankston VIC 3199,0.19
1248,Box Hill Senior Secondary College,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,0.48
1249,Edgars Creek Secondary College,The Northern Hospital,185 Cooper Street Epping VIC 3076,3.02
1250,Elevation Secondary College,Craigieburn Health Service,274-304 Craigieburn Road Craigieburn VIC 3064,1.63
1251,Cobden Technical School,South West Healthcare (Camperdown),9 Robinson Street Camperdown VIC 3260,7.23
1252,Lyndhurst Secondary College,Cranbourne Integrated Care Centre,140-154 Sladen Street Cranbourne VIC 3977,2.66
1253,Daylesford Secondary College,Daylesford District Hospital,15 Hospital Street Daylesford VIC 3460,0.4
1254,Dromana Secondary College,Rosebud Hospital,1527 Pascoe Road Pascoe VIC 3940,7.13
1255,Grovedale College,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,4.58
1256,Irymple Secondary College,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,3.46
1257,Crusoe 7-10 Secondary College,Bendigo Health (Anne Caudle),100A Barnard Street Bendigo VIC 3550,3.64
1258,Peter Lalor Secondary College,The Northern Hospital,185 Cooper Street Epping VIC 3076,0.99
1259,Lilydale Heights College,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,0.92
1260,Staughton College,Melton Health,195-209 Barries Road Barries VIC 3337,1.6
1261,Chaffey Secondary College,Mildura Base Hospital,216-240 Ontario Avenue Mildura VIC 3500,0.76
1262,Bentleigh Secondary College,Monash Medical Centre (Moorabbin),823-865 Centre Road Centre VIC 3165,0.49
1263,Mount Clear College,"Queen Elizabeth Centre, The (Ballarat QEC)",102 Ascot Street Ascot VIC 3350,3.59
1264,Rosehill Secondary College,Orygen Inpatient Unit,10 Mavis Street Footscray VIC 3011,3.06
1265,Northern College of the Arts and Technology,Heidelberg Repatriation Hospital,300 Waterdale Road Waterdale VIC 3081,1.64
1266,Swinburne Senior Secondary College,St George's Health Service (Aged Care),283 Cotham Road Kew VIC 3101,1.18
1267,Victorian College Of The Arts Secondary School,Eye and Ear on the Park,2 Gordon Place Gordon VIC 3002,1.32
1268,Brauer Secondary College,South West Healthcare (Warrnambool),25 Ryot Street Warrnambool VIC 3280,1.68
1269,Wyndham Central Secondary College,Mercy Public Hospitals Inc (Werribee),300-310 Princes Highway Werribee VIC 3030,2.49
1270,Weeroona College Bendigo,"Bendigo Hospital, The",62 Lucan Street Bendigo VIC 3550,1.07
1271,Whittlesea Secondary College,The Northern Hospital,185 Cooper Street Epping VIC 3076,11.1
1272,Alexandra Secondary College,Alexandra District Hospital,12 Cooper Street Alexandra VIC 3714,0.81
1273,Auburn High School,O'Connell Family Centre,6 Katamatite-nathalia Road Canterbury VIC 3126,1.87
1274,Ballarat High School,"Queen Elizabeth Centre, The (Ballarat QEC)",102 Ascot Street Ascot VIC 3350,1.45
1275,Balwyn High School,St George's Health Service (Aged Care),283 Cotham Road Kew VIC 3101,1.51
1276,Bayswater Secondary College,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,2.06
1277,Beaufort Secondary College,Beaufort & Skipton Health Service (Beaufort),24-28 Havelock Street Beaufort VIC 3373,0.55
1278,Beaumaris Secondary College,Sandringham & District Memorial Hospital,191-193 Bluff Road Sandringham VIC 3191,1.47
1279,Beechworth Secondary College,Beechworth Health Service,52 Sydney Road Beechworth VIC 3747,0.16
1280,Belmont High School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,2.54
1281,Bendigo Senior Secondary College,Bendigo Health (Anne Caudle),100A Barnard Street Bendigo VIC 3550,0.28
1282,Berwick Secondary College,Casey Hospital,62-70 Kangan Drive Berwick VIC 3806,1.38
1283,Blackburn High School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,1.74
1284,Box Hill High School,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,1.11
1285,Braybrook College,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,2.14
1286,Brentwood Secondary College,Monash Medical Centre (Clayton),246 Clayton Road Clayton VIC 3168,2.8
1287,Brighton Secondary College,Calvary Health Care Bethlehem,476-482 Kooyong Road Kooyong VIC 3162,1.64
1288,Broadford Secondary College,Kilmore and District Hospital,1 Anderson Road Kilmore VIC 3764,8.1
1289,Buckley Park College,Orygen Inpatient Unit,10 Mavis Street Footscray VIC 3011,3.09
1290,Camberwell High School,O'Connell Family Centre,6 Katamatite-nathalia Road Canterbury VIC 3126,1.13
1291,Canterbury Girls Secondary College,O'Connell Family Centre,6 Katamatite-nathalia Road Canterbury VIC 3126,0.49
1292,Casterton Secondary College,Casterton Memorial Hospital,63 Russell Street Casterton VIC 3311,0.31
1293,Cheltenham Secondary College,Kingston Centre,400 Warrigal Road Heatherton VIC 3202,0.61
1294,Cobram Secondary College,Cobram District Health,24-32 Broadway Street Cobram VIC 3644,0.26
1295,Cohuna Secondary College,Cohuna District Hospital,144-158 Broadway Street Cohuna VIC 3568,1.12
1296,Cranbourne Secondary College,Cranbourne Integrated Care Centre,140-154 Sladen Street Cranbourne VIC 3977,0.5
1297,Croydon Community School,Maroondah Hospital,1-15 Davey Drive Davey VIC 3135,1.42
1298,Mount Alexander 7-12 College,Royal Melbourne Hospital (Royal Park Campus),34-56 Poplar Road Parkville VIC 3052,0.89
1299,Dimboola Memorial Secondary College,Wimmera Base Hospital (Dimboola),32 Anderson Street Dimboola VIC 3414,0.57
1300,East Doncaster Secondary College,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,3.11
1301,Donald High School,East Wimmera Health Service (Donald),1A Aitken Avenue Donald VIC 3480,0.32
1302,Doncaster Secondary College,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,2.29
1303,Drouin Secondary College,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,4.6
1304,Eaglehawk Secondary College,"Bendigo Hospital, The",62 Lucan Street Bendigo VIC 3550,2.3
1305,Eltham High School,Mercy Hospital for Women,163 Studley Road Heidelberg VIC 3084,4.94
1306,Elwood College,Caulfield General Medical Centre,260 Kooyong Road Caulfield VIC 3162,1.72
1307,Epping Secondary College,The Northern Hospital,185 Cooper Street Epping VIC 3076,1.17
1308,Euroa Secondary College,Benalla Health,47-63 Coster Street Benalla VIC 3672,27.64
1309,Fairhills High School,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,2.49
1310,Bendigo South East 7-10 Secondary College,Bendigo Health (Anne Caudle),100A Barnard Street Bendigo VIC 3550,1.95
1311,Footscray High School,Western Hospital (Footscray),160 Gordon Street Footscray VIC 3011,0.37
1312,Foster Secondary College,South Gippsland Hospital (Foster),83 Station Road Foster VIC 3960,0.68
1313,Frankston High School,Frankston Hospital,2 Hastings Road Frankston VIC 3199,0.66
1314,Geelong High School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,0.47
1315,North Geelong Secondary College,McKellar Centre (Geelong),45-99 Ballarat Road Ballarat VIC 3215,0.7
1316,Gisborne Secondary College,Sunbury Day Hospital,7 Macedon Street Sunbury VIC 3429,9.79
1317,Gladstone Park Secondary College,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,1.34
1318,Bundoora Secondary College,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,0.59
1319,Greater Shepparton Secondary College,Shepparton Hospital,2-48 Graham Street Shepparton VIC 3630,0.8
1320,Western Port Secondary College,The Mornington Centre,24 Separation Street Mornington VIC 3931,9.09
1321,Healesville High School,Healesville and District Hospital,377 Maroondah Highway Healesville VIC 3777,0.25
1322,Heywood District Secondary College,Heywood Rural Health,21 Barclay Street Heywood VIC 3304,0.64
1323,Highvale Secondary College,"Peter James Centre, The",321-345 Burwood Highway Burwood VIC 3131,1.14
1324,Kerang Technical High School,Kerang District Health,13-15 Burgoyne Street Kerang VIC 3579,0.24
1325,Kensington Community High School,"Royal Children's Hospital, The",50 Flemington Road Parkville VIC 3052,1.34
1326,Kew High School,St George's Health Service (Aged Care),283 Cotham Road Kew VIC 3101,1.09
1327,Koonung Secondary College,Box Hill Hospital,8 Arnold Street Arnold VIC 3128,0.81
1328,Koo Wee Rup Secondary College,Kooweerup Regional Health Service,215 Rossiter Road Rossiter VIC 3981,0.67
1329,Korumburra Secondary College,Gippsland Southern Health Service (Korumburra),65-77 Bridge Street Korumburra VIC 3950,1.63
1330,Kyabram P-12 College,Kyabram and District Health Services,86-96 Fenaughty Street Kyabram VIC 3620,0.8
1331,Kyneton High School,Kyneton District Health Service,7-25 Fenaughty Drive Kyneton VIC 3444,0.69
1332,Lalor Secondary College,The Northern Hospital,185 Cooper Street Epping VIC 3076,1.62
1333,Lalor North Secondary College,The Northern Hospital,185 Cooper Street Epping VIC 3076,1.19
1334,Lilydale High School,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,0.5
1335,Lorne P-12 College,Lorne Community Hospital,1 Albert Street Lorne VIC 3232,0.57
1336,Lyndale Secondary College,Dandenong Hospital,135 David Street Dandenong VIC 3175,1.41
1337,Lynall Hall Community School,Caritas Christi Hospice Ltd,104 Kooyong Road Kew VIC 3101,1.08
1338,Maffra Secondary College,Central Gippsland Health Service (Maffra),42-48 Kent Street Maffra VIC 3860,0.26
1339,Mansfield Secondary College,Mansfield District Hospital,51-53 Highett Street Mansfield VIC 3722,0.37
1340,Maribyrnong Secondary College,Orygen Inpatient Unit,10 Mavis Street Footscray VIC 3011,0.8
1341,Matthew Flinders Girls Secondary College,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,0.67
1342,Melbourne High School,The Alfred,55 Commercial Road Melbourne VIC 3004,0.94
