,Aged Care,Nearest Hospital,Hopsital Address,Distance (miles)
540,Riverside Campus Residential Aged Care,Mildura Health Private Hospital,220-228 Thirteenth Street Mildura VIC 3500,45.45
541,Estia Health Victoria Heights,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,0.76
542,Bupa Bendigo,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,2.1
543,Estia Health Bendigo,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,1.2
544,Simpkin House,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,1.05
545,Royal Freemasons Flora Hill,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,1.63
546,Gibson Street Complex,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,1.98
547,Mirridong Residential Care,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,1.35
548,"Honeysuckle Regional Health, Bentley's Aged Care",St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,2.45
549,Uniting AgeWell Strath-Haven Community,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,2.97
550,Golden Oaks Nursing Home,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,1.39
551,Benetas St Laurence Court Kangaroo Flat,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,3.0
552,Mercy Health Bethlehem Home for the Aged,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,0.79
553,Carshalton House Hostel,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,1.26
554,Royal Freemasons Bendigo,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,1.9
555,Benetas St Laurence Court Eaglehawk,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,2.41
556,Rochester and District Hostel,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,36.56
557,Glanville Village,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,40.18
558,Wharparilla Lodge,,,
559,Bupa Echuca,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,40.1
560,Cohuna Retirement Village,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,66.33
561,Cohuna District Nursing Home,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,65.77
562,Glenarm Nursing Home,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,74.08
563,Baptcare Northaven Community,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,73.8
564,Logan Lodge (formally known as Swan Hill District Nursing Home),Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,105.45
565,Alcheringa Hostel,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,106.36
566,Swan Hill District (Nyah Campus),Mildura Health Private Hospital,220-228 Thirteenth Street Mildura VIC 3500,96.93
567,Lakeview Lodge Hostel,Nagambie HealthCare,22 Church Street Strathbogie VIC 3608,0.04
568,Waranga Nursing Home,Nagambie HealthCare,22 Church Street Strathbogie VIC 3608,15.48
569,Waranga Aged Care Hostel,Nagambie HealthCare,22 Church Street Strathbogie VIC 3608,15.22
570,Moyola Lodge Hostel,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,11.65
571,Parkvilla Aged Care Facility,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,11.7
572,Warramunda Village,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,20.72
573,Kyabram Nursing Home - Sheridan,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,20.74
574,Koraleigh Nursing Home,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,26.37
575,Rodney Park Residential Aged Care Service (Hakea Lodge),Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,3.81
576,Menarock LIFE Shepparton,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,0.49
577,Harmony Village Aged Care Facility,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,2.12
578,Maculata Place Residential Aged Care Service,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,1.16
579,Acacia House Residential Aged Care Service,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,1.23
580,Grutzner House,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,0.51
581,Mercy Place Ave Maria (Shepparton),Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,0.51
582,Mercy Place Shepparton,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,1.49
583,Banksia Lodge Residential Aged Care Service,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,4.47
584,Karinya NCN Health Numurkah,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,18.0
585,Numurkah Pioneers Memorial Lodge,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,18.03
586,Barwo Homestead,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,23.93
587,Banawah NCN Health Nathalia,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,23.85
588,Irvin House NCN Health Cobram,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,33.4
589,Ottrey Lodge,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,33.47
590,Seymour Health Nursing Home- Barrabill House,,,
591,Karingal Seymour,Nagambie HealthCare,22 Church Street Strathbogie VIC 3608,16.4
592,GraniteHill Aged Care,Euroa Health Inc,36 Kennedy Street Strathbogie VIC 3666,0.06
593,Honeysuckle Regional Health,Euroa Health Inc,36 Kennedy Street Strathbogie VIC 3666,11.8
594,Estia Health Benalla Vic,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,22.86
595,Cooinda Village Inc.,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,22.7
596,Morrie Evans Wing Nursing Home,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,22.78
597,Royal Freemasons Benalla,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,23.5
598,St Catherine's Hostel Wangaratta Inc,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,0.72
599,Rangeview Private Nursing Home,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,1.89
600,St John's Nursing Hostel,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,0.5
601,Illoura - Residential Aged Care,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,0.72
602,Glenview Community Care Nursing Home,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,22.35
603,Bupa Wodonga,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,2.17
604,Estia Health Wodonga,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,0.73
605,Westmont Homestead,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,5.32
606,Lakeview Nursing Home,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,17.89
607,Bolga Court Hostel,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,17.83
608,Corryong Health,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,57.55
609,Darlingford Upper Goulburn Nursing Home,Euroa Health Inc,36 Kennedy Street Strathbogie VIC 3666,37.68
610,Kellock Lodge Alexandra Inc,Euroa Health Inc,36 Kennedy Street Strathbogie VIC 3666,30.5
611,Rosebank Hostel,Euroa Health Inc,36 Kennedy Street Strathbogie VIC 3666,32.23
612,Rosebank Nursing Home,Euroa Health Inc,36 Kennedy Street Strathbogie VIC 3666,32.27
613,Buckland House Nursing Home,Euroa Health Inc,36 Kennedy Street Strathbogie VIC 3666,35.28
614,Allawah Special Care Hostel,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,28.58
615,Karana,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,28.58
616,Woods Point Aged Care,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,29.0
617,Warrina Hostel,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,29.13
618,Myrtleford Lodge Aged Care,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,26.93
619,"Alpine Health Multi-Purpose Service - Bright, Mount Beauty and Myrtleford",Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,41.07
620,Beechworth Health Service Residential Care Program,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,17.8
621,Yackandandah Health,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,11.98
622,Bupa South Morang,Northpark Private Hospital,10 Greenhills Road Whittlesea VIC 3083,2.9
623,Estia Health Plenty Valley,Northpark Private Hospital,10 Greenhills Road Whittlesea VIC 3083,2.95
624,San Carlo Homes for the Aged,Northpark Private Hospital,10 Greenhills Road Whittlesea VIC 3083,2.95
625,Estia Health South Morang - Heritage Lakes,Northpark Private Hospital,10 Greenhills Road Whittlesea VIC 3083,2.95
626,Whittlesea Lodge,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,11.35
627,Sunlight Residential Aged Care,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,11.22
628,Caladenia Nursing Home,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,22.19
629,BlueCross Willowmeade,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,22.45
630,Mercy Place Montrose (Nursing Home),Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,3.4
631,Holmwood Aged Care,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,16.14
632,Monda Lodge Hostel,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,17.26
633,Aurrum Healesville,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,15.81
634,Lifeview Emerald Glades,Berwick Surgicentre,22 Langmore Lane Casey VIC 3806,9.05
635,Estia Health Yarra Valley,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,17.65
636,AdventCare Yarra Ranges,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,23.02
637,Viewhills Manor,Dandenong Eye Clinic & Day Surgery Centre,1-3 Falkiner Crescent Falkiner VIC 3175,0.82
638,Homewood Residential Aged Care,The Hampton Park Women's Health Care Centre,4 Warana Drive Casey VIC 3976,1.9
639,Hallam Residential Care,The Hampton Park Women's Health Care Centre,4 Warana Drive Casey VIC 3976,1.76
640,Bupa Berwick,Casey Day Procedure and Specialist Centre,30-32 Verdun Drive Casey VIC 3805,2.09
641,St Jude's Aged Care Facility,Casey Day Procedure and Specialist Centre,30-32 Verdun Drive Casey VIC 3805,2.4
642,Coptic Village Hostel,,,
643,Casey Manor Aged Care,The Hampton Park Women's Health Care Centre,4 Warana Drive Casey VIC 3976,1.62
644,Casey Aged Care,Casey Day Procedure and Specialist Centre,30-32 Verdun Drive Casey VIC 3805,1.31
645,Homestyle Melville Grange,St John of God Berwick Day Oncology Centre,1/55 Kangan Drive Casey VIC 3806,0.31
646,CraigCare Berwick,Casey Day Procedure and Specialist Centre,30-32 Verdun Drive Casey VIC 3805,0.8
647,VMCH Berwick,The Victorian Cosmetic Institute,1/18-24A Clyde Road Casey VIC 3806,0.82
648,Menarock LIFE Upper Beaconsfield (Salisbury House),Berwick Surgicentre,22 Langmore Lane Casey VIC 3806,4.02
649,Millhaven Lodge,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,6.67
650,VMCH Shanagolden,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,7.59
651,Menarock LIFE Pakenham (McGregor Gardens),Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,7.37
652,Hillview Bunyip Aged Care Inc,Neerim District Health Service,29-39 Church Road Church VIC 3831,13.71
653,Lyrebird Village for the Aged,Neerim District Health Service,29-39 Church Road Church VIC 3831,9.16
654,Baptcare Amberlea Community,Neerim District Health Service,29-39 Church Road Church VIC 3831,9.71
655,Baptcare Abbey Gardens Community,Neerim District Health Service,29-39 Church Road Church VIC 3831,9.24
656,Cooinda Lodge Nursing Home,Neerim District Health Service,29-39 Church Road Church VIC 3831,10.46
657,Fairview Village,Neerim District Health Service,29-39 Church Road Church VIC 3831,10.51
658,Andrews House,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,14.13
659,Narracan Gardens Aged Care Facility,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,8.21
660,Royal Freemasons Moe,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,9.01
661,Latrobe Valley Village Hostel,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,8.01
662,Tarago Views Aged Care,,,
663,Baptcare Heritage Manor Community,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,0.66
664,Baptcare St Hilary's Community,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,1.93
665,Mitchell House Hostel,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,1.15
666,Benetas Dalkeith Gardens,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,5.59
667,mecwacare O'Mara House,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,7.09
668,Bupa Traralgon,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,7.46
669,Traralgon Aged Care,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,7.36
670,Margery Cole Residential Care Service,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,7.22
671,Latrobe Regional Hospital Nursing Home,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,2.91
672,Wilson Lodge,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,18.61
673,Ashleigh House Hostel,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,18.6
674,Royal Freemasons Sale,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,17.04
675,Opal Sale,,,
676,Laurina Lodge Hostel,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,0.08
677,Stretton Park Hostel,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,10.78
678,J.H.F. McDonald Wing Nursing Home,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,10.97
679,Strzelecki House,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,19.29
680,Bairnsdale Regional Health Service ( Maddocks Gardens),Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,46.04
681,Sutherland Lodge,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,46.04
682,Bupa Eastwood,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,48.08
683,Opal Bairnsdale,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,45.44
684,Opal Paynesville,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,51.72
685,"ORH -Residential Aged Care - Waratah Lodge (high care), Lochiel House (low care), respite care & TCP",Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,93.89
686,Omeo District Health,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,75.21
687,Opal Lakeview,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,66.52
688,Lakes Entrance Aged Care Facility,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,64.78
689,Opal Somerville,Peninsula Private Hospital,525 Mcclelland Drive Frankston VIC 3910,4.51
690,The Bays Aged Care,Beleura Private Hospital,925 Nepean Highway Nepean VIC 3931,9.19
691,mecwacare Annie's Court,Rosebud SurgiCentre,1537 Pine Road Pine VIC 3940,10.08
692,Banfields Aged Care,Beleura Private Hospital,925 Nepean Highway Nepean VIC 3931,19.14
693,Melaleuca Aged Care,Beleura Private Hospital,925 Nepean Highway Nepean VIC 3931,18.95
694,BlueCross Grossard Court,Beleura Private Hospital,925 Nepean Highway Nepean VIC 3931,18.99
695,Griffiths Point Lodge Hostel,Beleura Private Hospital,925 Nepean Highway Nepean VIC 3931,26.91
696,Ranelagh Gardens,Frankston Radiation Oncology Centre,26 Frankston-flinders Road Frankston VIC 3199,2.6
697,George Vowell,Beleura Private Hospital,925 Nepean Highway Nepean VIC 3931,2.04
698,Village Glen Aged Care Residences - Mornington,The Bays Hospital - Mornington,4 Vale Street Vale VIC 3931,0.22
699,Australian Unity Peninsula Grange Aged Care,Beleura Private Hospital,925 Nepean Highway Nepean VIC 3931,1.05
700,mecwacare Park Hill,Beleura Private Hospital,925 Nepean Highway Nepean VIC 3931,1.04
701,Andrew Kerr Care Ltd - Residential,The Bays Hospital - Mornington,4 Vale Street Vale VIC 3931,0.27
702,Australian Unity Racecourse Grange Aged Care,Mornington Endoscopy,350 Main Street Main VIC 3931,1.73
703,Benetas Corowa Court,The Bays Hospital - Mornington,4 Vale Street Vale VIC 3931,0.55
704,Bentons Lodge - Residential Aged Service,Mornington Endoscopy,350 Main Street Main VIC 3931,1.22
705,Opal By The Bay,Mornington Endoscopy,350 Main Street Main VIC 3931,1.81
706,CraigCare Mornington,Mornington Endoscopy,350 Main Street Main VIC 3931,2.36
707,Royal Freemasons Mount Martha Valley,Rosebud SurgiCentre,1537 Pine Road Pine VIC 3940,5.95
708,mecwacare Calwell Manor,Rosebud SurgiCentre,1537 Pine Road Pine VIC 3940,5.95
709,Rosebrook Aged Care,Rosebud SurgiCentre,1537 Pine Road Pine VIC 3940,2.11
710,Mercy Place Rosebud,Rosebud SurgiCentre,1537 Pine Road Pine VIC 3940,0.49
711,Carinya Nursing Home (Frankston Extended Care),Rosebud SurgiCentre,1537 Pine Road Pine VIC 3940,0.6
712,Village Glen Aged Care Residences - Capel Sound,Rosebud SurgiCentre,1537 Pine Road Pine VIC 3940,0.6
713,Capel Sands,Rosebud SurgiCentre,1537 Pine Road Pine VIC 3940,0.42
714,Regis Rosebud,Rosebud SurgiCentre,1537 Pine Road Pine VIC 3940,0.63
715,Rye Sands,Rosebud SurgiCentre,1537 Pine Road Pine VIC 3940,3.18
716,Alchera House,Neerim District Health Service,29-39 Church Road Church VIC 3831,29.22
717,Carinya Lodge Homes,Neerim District Health Service,29-39 Church Road Church VIC 3831,29.73
718,Woorayl Lodge Inc,Neerim District Health Service,29-39 Church Road Church VIC 3831,31.36
719,Koorooman House Nursing Home,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,31.66
720,Prom Country House,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,32.75
721,Crossley House Hostel Inc,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,27.71
722,St Elmo's Nursing Home,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,27.47
723,Mercy Place Lynbrook,The Hampton Park Women's Health Care Centre,4 Warana Drive Casey VIC 3976,1.92
724,Lynbrook Park Aged Care,The Hampton Park Women's Health Care Centre,4 Warana Drive Casey VIC 3976,1.06
725,Regis Cranbourne,Peninsula Private Hospital,525 Mcclelland Drive Frankston VIC 3910,6.78
726,Lifeview Willow Wood,The Hampton Park Women's Health Care Centre,4 Warana Drive Casey VIC 3976,4.9
727,Homestyle Langford Grange,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,5.59
728,Koo Wee Rup Regional Health Service Killara Hostel-,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,13.21
729,Koo Wee Rup Regional Health Service Social Work,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,13.24
730,Rose Lodge,Peninsula Private Hospital,525 Mcclelland Drive Frankston VIC 3910,38.51
731,Kirrak House,,,
732,Opal Seahaven,Neerim District Health Service,29-39 Church Road Church VIC 3831,44.03
